num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,40861,40859,73629,282515028,19250354,41718,263469889,375050744,134127258,93796584,179,161427743,106690904,559024890,575538232,565535,565535,6128272330,453858048,40170,3298093953,580655112,13047538541,2436868288,264,1672873448,714657104,18018505942,3732180504,0,0,0,0,0,0,0,179
2,81672,81634,137654,440847625,95757368,83304,446848421,674703760,152658092,110800264,610,121684308,110800264,721190821,896304288,585535,585535,6372435084,556467304,80170,3336914565,684945080,13187330015,1519738048,695,1365339856,902784600,17889584436,3107467728,0,0,0,0,0,0,0,610
3,122409,122422,195143,725043077,159621346,124829,406676047,848012000,199415289,141335296,1259,284073448,141373448,890164784,1130720744,605535,605535,6623548402,565209224,120170,3379386551,696843200,13986725846,6972832336,1344,2282858133,1123859312,19648970530,8793534848,0,0,0,0,0,0,0,1259
4,163158,163165,248302,1085358099,212739168,166321,1172553223,1114154816,274493305,154160392,1966,406159848,308247208,1853206376,1576562416,625535,625535,7537437718,573931200,160170,3664805982,639418568,17960185676,7003439240,2051,2428655824,1268930424,24053647482,8911788232,0,0,0,0,0,0,0,1966
5,203902,203851,298490,1053935255,265776509,207751,739881662,1300146648,608679472,371470496,2785,293634436,371507400,1642195570,2043124544,645535,645535,6388630005,582427424,200170,3361753401,755453952,13892730468,7058865864,2870,2468749869,1474390408,19723233738,9288710224,0,0,0,0,0,0,0,2785
6,244620,244468,346195,1314875433,318808992,249086,1455338422,1693658528,405704940,426231336,3627,330050249,423387472,2191093611,2543277336,665535,665535,6981365518,591012984,240170,3366120223,640530800,13837401325,7197356912,3712,3013127895,1683129064,20216649443,9521016776,0,0,0,0,0,0,0,3627
7,285326,285157,392327,1735241359,371857320,290481,1046543211,1939233968,837670424,484836512,4513,371579221,484832968,2255792856,2908903448,685535,685535,6352811730,599442464,280170,3567110041,727236104,14706870569,7272213360,4598,2803855119,1922804616,21077835729,9922254080,0,0,0,0,0,0,0,4513
8,325949,325825,437258,1653674274,424828600,331772,1296297832,2071624488,742476686,497693712,5477,505412930,497697528,2544187448,3067015728,705535,705535,5961818260,607860384,320170,3695858270,776884400,14103816183,7509662520,5562,3748546902,2051702856,21548221355,10338249776,0,0,0,0,0,0,0,5477
9,366618,366445,481176,1999817614,477823528,373061,1484486125,2196404496,997023700,526227688,6419,588455326,526227616,3069965151,3248859800,725535,725535,7159607656,616216888,360170,3528120748,858465616,14502504607,7412879344,6504,4352526286,2450973184,22383151641,10722318144,0,0,0,0,0,0,0,6419
10,407217,407074,524357,2243669111,530743312,414289,1629920509,2335106408,688605207,583802056,7330,675262642,583801992,2993788358,3502710456,745535,745535,7566448736,624507688,400170,3990251641,875685976,14702105790,7589124912,7415,3955090030,2606253768,22647447461,11071064656,0,0,0,0,0,0,0,7330
11,447838,447718,567014,2811551991,583673784,455554,1871606253,2776088952,688000356,589869944,8286,1000430661,627482600,3560037270,3993441496,765535,765535,6624091740,632779712,440170,3644533379,925405008,15609494390,7728275696,8371,4740020169,2776162320,23994047938,11429843024,0,0,0,0,0,0,0,8286
12,488493,488283,609252,2560015870,636635970,496774,2751098474,2945238896,787153819,654522512,9196,863410156,654524560,4401662449,4254285968,785535,785535,6063047809,640997400,480170,4303678675,981806992,15349840573,7854012712,9281,4983773557,2945272608,24637292805,11781092312,0,0,0,0,0,0,0,9196
13,529040,528823,651005,3270346323,689503389,537861,2181206302,3121730080,951640687,693745056,10102,692891787,693742936,3825738776,4509218072,805535,805535,6846277920,649133512,520170,4711075555,1040605152,16143260443,7630945808,10187,5248778022,3121758376,26103114020,11793309336,0,0,0,0,0,0,0,10102
14,569636,569372,692486,4232164437,742402221,579006,2323672291,3294949704,1363213633,732236160,10974,728153333,732236136,4415039257,4759422000,825535,825535,7629693573,657263320,560170,4773802316,1131931032,15438321976,8054372416,11059,5613999846,3294977704,25826124138,12481281152,0,0,0,0,0,0,0,10974
15,610136,609914,733718,3728393374,795189738,620048,2533294351,3466684640,1240183653,770406112,11830,918264952,770400232,4691742956,5007490984,845535,845535,6733549777,665334384,600170,4572509368,1172394480,16000626203,8088993104,11915,6415772425,3466718600,26988907996,12728106184,0,0,0,0,0,0,0,11830
