num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,20001,20001,38458,164083006,13761757,38671,154487866,246270840,114825693,82090240,560,136645584,89555840,405959143,417916920,545535,545535,6159576692,456593072,39393,3324644315,573368536,13992415680,2916891888,634,1754089383,651424128,19071149378,4141684552,0,0,0,0,0,0,0,354
2,40001,40001,73050,269332399,61152986,74803,176432061,423128936,88597510,105782232,2146,137290109,211600744,402319680,740511912,545535,545535,6057864308,538700400,77138,2895473267,624911992,12638550122,1752953680,2167,925679218,788797824,16459702607,3166663496,0,0,0,0,0,0,0,1293
3,60001,60001,103990,523833811,91744722,108482,289466460,511782344,138249827,126653992,4710,322276947,253231680,749993234,891668016,545535,545535,5643829338,538741320,113296,2917772988,639766224,12637604071,769057528,4623,1137664913,1022869168,16693041972,2431692920,0,0,0,0,0,0,0,2865
4,80001,80001,131840,717091696,122306400,140063,496780465,745325568,216015497,146578832,7987,285533875,293194192,998329837,1185098592,545535,545535,5927627216,537729296,148031,3384695955,596267952,13316744425,6856768392,7714,1305332786,1334576680,18006773166,8787613024,0,0,0,0,0,0,0,4823
5,100001,100001,156808,714151148,152875346,169500,382241865,835405688,188343255,167081128,12104,437069212,501279632,1007654332,1503766448,545535,545535,5625086736,538766216,181592,2881130859,661386096,12651012640,6850434736,11573,1651981605,1659053320,17184125104,9170874152,0,0,0,0,0,0,0,7218
6,120001,120001,179157,992688836,183531778,197102,448327906,911605792,285673672,182355048,16875,424500881,546963504,1158502459,1640924344,545535,545535,6314923357,538787336,213811,3301137488,550355256,14077335985,6779587496,15955,2128119791,2177144568,19506593264,9507087320,0,0,0,0,0,0,0,10031
7,140001,140001,199223,1271514036,214148709,222907,614523492,996407568,252561078,199281472,22328,420102658,597878360,1287187228,1793567400,545535,545535,5652424305,538785616,244804,2794283353,593159936,13272023264,6775873680,20909,2278543377,2569492800,18344849994,9938526416,0,0,0,0,0,0,0,13261
8,160001,160001,217424,1368255059,244740008,247407,708846068,1282750120,280997998,213856656,28072,385048346,641393528,1374892412,2138000304,545535,545535,5278276699,538778576,274737,2774743457,637874552,13116918780,6841282032,26095,2532550424,3180254384,18424212661,10659410968,0,0,0,0,0,0,0,16599
9,180001,180001,233668,1543695746,275422914,270461,1162498943,1374868400,308127273,229144712,34166,463759008,687500232,1934385224,2291513344,545535,545535,6415008402,538783568,303566,2781489392,684434040,14866196504,6874487952,31560,3603144609,3630429664,21250830505,11189351656,0,0,0,0,0,0,0,20143
10,200001,200001,248448,1744131509,306047354,292354,831621636,1412811480,327728690,228825272,40612,424804394,686374200,1584154720,2328010952,545535,545535,5679965953,538804680,331395,2958046475,704092224,12820299120,6828694928,37242,2230360694,4205948624,18008706289,11738735776,0,0,0,0,0,0,0,23862
