num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,22297,22391,48964,223975705,1152061,35882,227514585,217661848,128307985,108741328,342,253675187,123655024,609497757,450058200,545586,545549,6411703340,430125400,36860,3800786382,667990552,14745382880,1550724128,440,1383393286,691917888,19929562548,2910632568,0,0,0,0,0,0,0,211
2,44608,44866,91479,429306879,43350237,69930,265876770,467206728,125897981,155769416,1412,265215975,155735512,656990726,778711656,545587,545535,7791144669,539196152,72267,3266070494,612732696,14168952456,6696739152,1507,1148652895,812238792,18583675845,8121710640,0,0,0,0,0,0,0,903
3,66946,67046,128473,555992914,68432661,102360,390339032,795176480,183978641,195684872,3085,648992209,391406712,1223309882,1382268064,545566,545482,6408346098,539302608,106576,3136306999,596390744,13613535091,6758827120,3113,1407086101,982099776,18156928191,8337317640,0,0,0,0,0,0,0,1970
4,89378,89517,161490,893871992,91303893,133549,798406794,952517400,240588120,234323376,5290,674433310,468572136,1713428224,1655412912,545574,545516,6976645227,539522120,140118,3438122484,714425496,14680711575,6905896736,5228,1558663242,1176516672,19677497301,8796838904,0,0,0,0,0,0,0,3376
5,111827,111848,190883,1105543476,113973730,163171,662920585,1141404840,294661338,280707512,8067,918755833,561333288,1876337756,1983445640,545543,545511,6585158365,539679320,172506,3795325915,570736376,14512878673,6853476960,7843,1897765509,1425597896,20205970097,8849811232,0,0,0,0,0,0,0,5197
6,134352,134328,217372,1115826737,136839808,191659,780935891,1262231800,353077829,310056632,11339,855779918,620045456,1989793638,2192333888,545578,545489,6385221153,539852880,204252,3072571543,631155128,14758649533,6942420728,10882,2329302012,1577591576,20160523088,9151167432,0,0,0,0,0,0,0,7310
7,156846,156849,241393,1533861573,159616322,219057,1309107819,1406125256,351628598,351520736,15008,1250447370,703075400,2911183787,2460721392,545589,545519,6517687762,539978832,235237,3047515901,701009440,13983633576,7030562360,14222,2703003879,2109190936,19734153356,9840762736,0,0,0,0,0,0,0,9650
8,179246,179449,263219,1798828227,182404821,245312,984552136,1516347744,490656299,379117640,19090,1033423070,758194304,2508631505,2653659688,545611,545527,9266463870,540143232,265564,3549972980,756461512,14516301739,6823531744,17962,3232093179,2275190536,21298367898,9855183792,0,0,0,0,0,0,0,12328
9,201675,201949,282930,3042125413,205173389,270236,2159903387,1698339712,929196848,424617760,23561,1143227688,849181656,4232327923,2972139128,545645,545479,8526482767,540269832,295013,3506123452,847936768,23916958494,6793395384,22128,5349357425,2547572224,32772439371,10188904376,0,0,0,0,0,0,0,15290
10,224234,224446,301149,3213674598,228011805,294576,1403682057,1803066216,523639303,441965720,28306,1313823178,883886048,3241144538,3128917984,545597,545515,6320399379,540287832,323970,3097940873,901225120,13951711697,7212369472,26414,3146262665,3155438896,20195915235,11269033488,0,0,0,0,0,0,0,18317
