num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,7014,7263,6512,147979346,-10336,5416,666022784,93701392,108574749,31233720,101,243912186,62556360,1018509719,187491472,39534,39534,1634442435,7375640,8324,738586525,62111096,2307246399,468505568,301,1158981093,93790112,4204814017,624406776,0,0,0,0,0,0,0,0
2,13730,15107,11950,148032651,749,10092,864021359,171378528,117414007,42430720,357,407721534,169731080,1389156900,383540328,38034,38034,1110923005,38209880,16922,390355752,42866216,1700197842,428700208,1179,1490728000,128678912,3581281594,600245336,0,0,0,0,0,0,0,0
3,21660,21988,16254,239963786,1680,13089,1096157010,308476512,76139557,50772704,777,1217747099,304636168,2390043666,663885384,36534,36534,514654829,37680448,25854,496208726,51385656,911206510,411123360,3757,2566303285,205648920,3973718521,668157936,0,0,0,0,0,0,0,0
4,28164,28702,20003,314419002,1797,16183,1213562803,330000448,120376789,54992864,1303,1555310821,329995592,2889250413,714988904,35034,35034,611979930,37096056,33096,317571765,54992856,973705234,384950024,5204,2161824419,219971496,3453101418,659914376,0,0,0,0,0,0,0,0
5,34940,35369,23339,363750486,1680,18756,1707549010,412637728,131961455,59095472,1984,1838830616,412688624,3678341081,884421824,33534,33534,583598862,36213824,40610,231124683,58948216,707015553,412637808,7195,2566234358,294753328,3504374594,766339352,0,0,0,0,0,0,0,0
6,42451,42062,26458,432193699,-10920,21060,1219138643,467782576,133219289,65951064,2700,2554101326,527336552,3906459258,1061070192,32034,32034,599760637,35259992,48693,254446368,66981328,674716082,334906696,9724,3095345942,334944920,4024508392,736832944,0,0,0,0,0,0,0,0
7,48871,49254,28719,545609477,-11949,21918,2106615511,581864872,171613636,71749680,3606,3259111686,573730408,5537340833,1227344960,30534,30534,591440119,33923520,56222,225851559,72916736,614901501,364532640,13021,4346345062,437477360,5187098122,874926736,0,0,0,0,0,0,0,0
8,55435,55633,30809,590034853,-13578,22981,1878029929,576596072,130754777,82370128,4519,2605732879,658977464,4614517585,1317943664,29034,29034,599244992,33412528,63195,221938081,82370120,787595194,329480608,15856,5399618825,494256800,6409152100,906107528,0,0,0,0,0,0,0,0
9,61807,62123,32492,648122563,14472,23481,1492243576,618793160,77061076,88391232,5576,3029360029,618755040,4598664681,1325939432,27534,27534,607825003,32476368,69944,171051870,88393480,714339417,353600960,18931,6140778462,530422496,7026169749,972416936,0,0,0,0,0,0,0,0
10,68410,68636,33974,677815787,-10216,23547,1604809978,667951544,102762822,94212216,6593,3293358151,659557328,5000930951,1421721088,26034,26034,592499905,31622496,77040,208452389,95668728,715435304,287006128,22522,7245603486,574104072,8169491179,956778928,0,0,0,0,0,0,0,0
11,74652,75213,35307,734543489,-9853,23408,2401848773,803156224,78107184,99121368,7699,4400502740,693887824,6880458697,1596165416,24534,24534,460126199,30751288,83843,214668062,100662264,715049545,301986752,26125,9074559042,604067144,10004276649,1006716160,0,0,0,0,0,0,0,0
12,81083,81784,36496,887376864,1709,23133,3072032275,835618864,119423299,104482536,8721,7122758375,731216056,10314213949,1671317456,23034,23034,601179535,29650672,90653,187381280,104446464,691461453,313339360,29767,11100171484,731268648,11979014217,1149054472,0,0,0,0,0,0,0,0
13,87340,88194,37362,931850088,1773,22345,2112419069,852916192,158559490,106606944,9887,6673410217,746322856,8944388776,1705845992,21534,21534,466126905,28906144,97157,178518796,106606936,523755518,319820776,33633,13100133609,746427992,13802407923,1172855704,0,0,0,0,0,0,0,0
14,93681,94485,38137,978578578,-10125,21605,2036691110,901013720,103410809,111245320,11026,7866185758,778794008,10006287677,1791053048,20034,20034,425038524,27995112,103591,198741612,112960320,577480763,338880936,37439,15318003036,791564952,16094225411,1243406208,0,0,0,0,0,0,0,0
15,101176,100643,38960,1047694813,264,21635,2379860072,920775064,132730798,113716920,11361,9358422834,1026687104,11871013704,2061179088,18534,18534,490824454,27073328,111137,200360155,115444992,557818981,230890064,41577,21867561122,923745080,22625740258,1270080136,0,0,0,0,0,0,0,0
16,107519,107059,39434,1092466818,26005,20562,2314358707,952409440,131178827,117597432,12016,13292365486,1058520456,15737903020,2128527328,17034,17034,357637224,26176216,117657,234181572,119453424,664022487,238833192,45627,25392998351,955632928,26291202410,1313919544,0,0,0,0,0,0,0,0
17,113595,113254,39801,1167243615,280,19310,2420846998,980049720,129796859,121034992,12691,12588100941,1089435976,15138744798,2190520688,15534,15534,445797743,24904096,123786,173062679,122899632,551301456,245799224,49539,29928855308,983493904,30653219443,1352192760,0,0,0,0,0,0,0,0
18,120150,122033,40424,1305507885,11866,19033,2636786908,998007008,202108933,124746240,11947,17077263881,2495160368,19916159722,3617913616,14034,14034,294421906,24264248,132778,176063493,123402056,625102011,246804080,54462,100813864977,1362246056,101615030481,1732452192,0,0,0,0,0,0,0,0
19,126387,128256,40630,1400926071,4029,17584,3054374948,1004619736,287829445,125572176,12267,20984903942,2762854672,24327108335,3893046584,12534,12534,320210766,23297968,139019,180350599,124892080,522493178,249699560,58526,82185295509,1374178232,82888139286,1748769872,0,0,0,0,0,0,0,0
20,132620,135360,40742,1458564437,12418,15068,2952203185,1028332928,132006826,127059864,12861,23390515147,3176225816,26474725158,4331618608,11034,11034,334187324,22275224,146030,249366895,128227968,528304771,256388096,63571,92880148159,1539320000,93657819825,1923936064,0,0,0,0,0,0,0,0
