num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,28276,28275,73575,302636989,-11588664,31129,370228775,327157760,171281137,41945088,1453,224264393,67108864,765774305,436211712,545535,545535,6003776503,542046488,31981,3430227723,300120400,5979964920,1308622848,1544,1409146833,620756992,10819339476,2229500240,0,0,0,0,0,0,0,992
2,57019,57032,124987,504206783,16191688,57065,523047195,587202560,196842554,67108864,4933,370806897,125831168,1090696646,780142592,545535,545535,6626845893,551235120,59842,3611051621,516392816,5973805611,1308622848,4762,1310877415,780142592,10895734647,2605158256,0,0,0,0,0,0,0,3558
3,85792,85973,162832,737048564,23951192,78668,617319794,780142592,211676475,83886080,9693,417624146,167772160,1246620415,1031800832,545535,545535,6328488349,551845568,84627,3316310970,436805968,5880103107,884442624,9062,1557468561,394266624,10753882638,1715515216,0,0,0,0,0,0,0,7324
4,115026,115129,193004,959503778,31567576,97343,810582888,956301312,256169961,100663296,15152,632350857,243271680,1699103706,1300236288,545535,545535,6938003632,552336560,107111,3158578069,524462592,5645420281,1350567936,14062,1775721885,262011976,10579720235,2137042504,0,0,0,0,0,0,0,11916
5,144298,144289,216849,1543989937,39071144,113110,1084574777,1115686912,302925757,117437856,20833,1011980559,285212672,2399481093,1518337440,545535,545535,6772606302,552725232,127439,3343038415,578816000,6114469499,624931480,19527,1976592208,494622064,11434100122,1698369544,0,0,0,0,0,0,0,17068
6,173367,173523,236220,1913938619,46525448,126911,1833891970,1258291200,370684605,125828512,26335,1447075862,360712192,3651652437,1744831904,545535,545535,6678552982,553038656,146073,3057620492,578816000,6522369705,898765264,25345,2408643835,308950528,11988634032,1786531792,0,0,0,0,0,0,0,22631
7,202812,202916,252516,2117403742,53824664,138702,2040525778,1384122368,428510806,142605728,31567,2139398525,402653184,4608435109,1929381280,545535,545535,6609219022,553305440,163273,3289562125,312336448,6309031701,702899992,31397,2603096529,722266624,12201690355,1737503064,0,0,0,0,0,0,0,28456
8,232538,232253,266166,2296568203,61208072,149049,1967541006,1501562880,428602345,150994944,36528,3037757567,461375488,5433900918,2113933312,545535,545535,6512615016,553514240,179304,3574478487,312695840,6717668468,1184442880,37679,2653700155,240338840,12945847110,1737477560,0,0,0,0,0,0,0,34578
9,262131,261763,277641,2677652091,68508152,158200,2385692789,1610612736,514913640,159385600,41040,4252258380,520093696,7152864809,2290092032,545535,545535,6314920732,553676080,194020,3514928954,314836160,6696824788,777363616,43941,3229996060,497208384,13441749802,1589408160,0,0,0,0,0,0,0,40638
10,292076,291343,287404,3193644092,75851197,166061,2849597542,1711276032,549274539,167772160,44911,5707558179,578816000,9106430260,2457864192,545535,545535,7470243239,553810632,207505,3542287609,316219328,6568562095,535856464,50094,2989848341,309387776,13100698045,1161463568,0,0,0,0,0,0,0,46653
11,321919,321075,295793,3223765959,83151376,173186,3141715793,1811939328,578102735,184549376,48157,7136570271,629155184,10856388799,2625643888,545532,545535,6323372750,553920128,220050,3483802726,305332728,6767954638,1175246336,56086,3165966205,911626240,13417723569,2392205304,0,0,0,0,0,0,0,52576
12,351311,350771,302903,3341530932,90444144,179176,3290814023,1904216064,584764533,201326592,50893,9518728625,687865856,13394307181,2793408512,545532,545535,6473025698,553995752,231632,3620963118,303586592,6682370607,691802384,62024,3711219427,693007024,14014553152,1688396000,0,0,0,0,0,0,0,58358
13,381323,380267,308998,3602468023,97727672,184616,3712249146,1988102144,546795759,176162816,53103,11378869764,746595096,15637914669,2910860056,545532,545535,7089283109,554079472,242503,3496213253,321890496,6708276091,578899424,67908,3581637861,691140312,13786127205,1591930232,0,0,0,0,0,0,0,64076
14,411104,409949,314361,4030391499,105090173,189380,4701801923,2071988224,508881992,184546720,54903,12860218172,263073280,18070902087,2519608224,545526,545535,6490881595,554153840,252488,3464703117,313715232,6532734050,1167456256,73342,3424432308,654989864,13421869475,2136161352,0,0,0,0,0,0,0,69397
15,440797,439640,318948,4303913764,112416112,193596,4736640794,2155874304,617348490,184546720,55964,20091487714,517007360,25445476998,2857428384,545526,545535,6042887978,554184352,261612,3393618449,337149448,6687895970,914677560,78569,3988027377,418435592,14069541796,1670262600,0,0,0,0,0,0,0,74532
16,470591,469503,322999,4531723180,119628840,197453,4521781673,2231369728,559306133,192940032,56848,46210614091,3303250944,51291701897,5727560704,545526,545535,6174857195,554228032,270268,3660755127,322193808,6555287825,735755840,83682,4151795072,816593664,14367838024,1874543312,0,0,0,0,0,0,0,79551
17,500418,499426,326607,5422919637,126911576,200993,6546007040,2294772224,586873345,192940032,57482,106461149490,5935006208,113594029875,8422718464,545526,545535,6245810425,554225088,278430,3099651834,319211016,6425396675,704131736,88530,4094138776,350486016,13619187285,1373828768,0,0,0,0,0,0,0,84279
18,530280,529354,329812,5422760987,134222800,204300,7199002748,2415919104,525347310,192940032,58260,195818397234,15976212992,203542747292,18585072128,545526,545535,7514867811,554247952,285814,3624555884,319842688,6836699772,694596608,93092,4002833436,752976896,14464089092,1767416192,0,0,0,0,0,0,0,88717
19,560201,558923,332660,5140623171,141571296,207190,5137946138,2457864192,648749207,192940032,58734,284535813918,6914490544,290322509263,9565294768,545526,545535,7250583567,554266072,292801,3411673213,322154264,6609327388,772934656,97393,4394690487,676036608,14415691088,1771125528,0,0,0,0,0,0,0,92959
20,590019,588675,335230,6097272360,148963000,209785,7006999993,2514138112,604985293,201326592,59296,407909341274,10880026624,415521326560,13595491328,545526,545535,6466439014,554321448,299301,3242282566,310662096,6825109615,758202096,101401,4297241357,974616008,14364633538,2043480200,0,0,0,0,0,0,0,96920
21,619833,618472,337480,6876268688,156232952,212067,8350705999,2611307008,542939872,201326592,59881,536694004713,10867444224,545587650584,13680077824,545524,545535,6301885753,554366952,305449,3486858755,314277424,6604424743,567511728,105303,4633051210,452984832,14724334708,1334773984,0,0,0,0,0,0,0,100749
22,649720,648339,339551,6655615773,163593640,214253,6624823429,2667577344,659994157,201326592,60424,732635000080,6169443496,739919817666,9038347432,545524,545535,6699841350,554396568,311190,3273890403,326391664,6831327141,796180896,109037,4657091005,385016320,14762308549,1507588880,0,0,0,0,0,0,0,104326
