num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,40786,40824,73675,374084795,16104501,41608,241829842,384390392,142952346,128166928,173,277589632,155619736,662371820,668177056,565535,565535,6978795092,419483400,40170,3524715763,657462992,14761664545,636941224,258,510479729,371632296,18796860037,1666036512,0,0,0,0,0,0,0,173
2,81619,81641,137754,534395998,120831314,83258,287493563,630657224,145319993,157664312,645,166965894,315362552,599779450,1103684088,585535,585535,6471547329,556463336,80170,3296233403,621632344,14059964542,6859613952,730,642656153,312993408,17998854098,7794239704,0,0,0,0,0,0,0,645
3,122384,122397,195129,659250273,181122917,124779,714831323,974228176,213639387,191011688,1292,239331083,382060376,1167801793,1547300240,605535,605535,6094182558,565246216,120170,3706362262,787778280,13715308088,7017437776,1377,728816929,385749128,18150487279,8190965184,0,0,0,0,0,0,0,1292
4,163203,163154,248187,1061876517,241455493,166355,578409427,1253993648,272462072,203963088,2058,304038399,407896328,1154909898,1865853064,625535,625535,6165787234,574781480,160170,3398842823,627030512,15227421196,7106105144,2143,1128226751,417211096,19754490770,8150346752,0,0,0,0,0,0,0,2058
5,203953,203881,298311,1369318816,301753029,207832,1187092202,1373283496,335421330,222624976,2887,770823344,445287088,2293336876,2041195560,645535,645535,6348804551,582435512,200170,3816434568,686679208,15285598940,7096100216,2972,1142081926,454535912,20244115434,8237315336,0,0,0,0,0,0,0,2887
6,244664,244585,346087,1328107873,361963717,249247,1411724466,1497613400,397205958,241943984,3762,1005520885,725767896,2814451309,2465325280,665535,665535,7236516250,590941240,240170,4104576785,749087512,16411252344,7238623848,3847,1399623397,508066016,21915452526,8495777376,0,0,0,0,0,0,0,3762
7,285344,285231,392249,1539077964,422119112,290573,1643431691,1865961536,455576127,266598768,4666,534887543,799777536,2633895361,2932337840,685535,685535,6849602361,599413296,280170,3601221496,798413672,15800298011,7197338264,4751,1481955325,528343992,20883474832,8524095928,0,0,0,0,0,0,0,4666
8,326024,325880,437173,2104673767,482277069,331902,1306042396,1976099808,518178842,564638488,5579,821240436,846933584,2645461674,3387671880,705535,705535,6267926462,607818960,320170,3876134610,939943648,15273347404,7339953648,5664,1529859254,840505440,20679341268,9120402736,0,0,0,0,0,0,0,5579
9,366661,366496,481098,2577242812,542384624,373155,1622257664,2414778872,623903574,581447120,6475,1186973898,872146120,3433135136,3868372112,725535,725535,6671514085,616159560,360170,4319414220,905581416,15878603040,7563108704,6560,1670182819,905575960,21868200079,9374266080,0,0,0,0,0,0,0,6475
10,407267,407147,524359,2728065223,602446498,414412,2513056633,2559457656,653985358,615576464,7387,1032063993,923355664,4199105984,4098389784,745535,745535,6762974888,624466216,400170,4502550302,960115856,17063193957,7680767584,7472,1797402447,960107784,23363146706,9600991224,0,0,0,0,0,0,0,7387
