num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,22321,22316,48957,188205386,23136589,35746,224799962,276497344,137052938,138275144,376,259825385,168427248,621678285,583199736,545536,545549,6124829035,400683352,36642,3233969239,565528352,13002409233,6636692912,454,515226603,383394872,16751605075,7585616136,0,0,0,0,0,0,0,237
2,44712,44805,91477,448173982,50108200,69931,374638667,538157552,126025177,177537872,1479,230760903,355113040,731424747,1070808464,545524,545589,6349644325,539202816,72206,5115524979,546583376,19452708697,6670980280,1551,632693128,380252960,25200926804,7597816616,0,0,0,0,0,0,0,947
3,69113,67529,129704,540007753,76564680,103562,694796671,874045856,208262359,215583200,3308,485839460,646635936,1388898490,1736264992,545582,545586,5731428543,539427488,108955,3098891381,655574568,13093562693,6786315384,3284,647217748,648667080,16839671822,8090557032,0,0,0,0,0,0,0,2106
4,91541,89869,162706,903840624,101990816,134653,839864885,1003153768,481407502,250827120,5593,589223642,752373504,1910496029,2006354392,545593,545585,5861960071,539583368,142354,3019829241,745616744,13823708423,6771401552,5449,779306972,745291960,17622844636,8262310256,0,0,0,0,0,0,0,3552
5,113856,112104,192007,970874518,127515144,164310,892006833,1176522544,616322883,289258040,8442,868040090,867815024,2376369806,2333595608,545574,545649,6404943549,539759256,174812,3574323906,588282760,14063824597,6764926608,8065,1123855473,881466648,18762003976,8234676016,0,0,0,0,0,0,0,5358
6,136418,134671,218511,1254523166,153062882,192963,1140852995,1365715928,440784723,331045312,11851,915811050,993034224,2497448768,2689795464,545584,545658,6757322329,539843720,206918,3343599857,673134008,14348104433,6731092144,11168,1344727921,1009705808,19036432211,8413931960,0,0,0,0,0,0,0,7479
7,158916,157242,242266,1861005136,178562701,220127,1331937262,1592136216,457918822,391224824,15729,1556005365,1173615608,3345861449,3156976648,545620,545656,7666037346,539961280,237767,4021391860,796320856,20072054167,6782935624,14581,2188257589,1194081328,26281703616,8773337808,0,0,0,0,0,0,0,9871
8,181490,180143,263948,1846103206,203800213,246414,2206208437,1834463768,463396373,451457760,20005,1449748480,1354307624,4119353290,3640229152,545575,545631,6880446200,540040416,268259,3977417723,917254104,20582664922,6879289024,18360,2002975900,1845764960,26563058545,9642308088,0,0,0,0,0,0,0,12512
9,203933,202741,283766,2407807779,229278365,271604,2643173808,2020952864,913755262,505277608,24621,1916647736,1010493280,5473576806,3536723752,545588,545666,9100742187,540103400,297842,3995225168,1144182904,17895914307,7073387088,22435,1856269068,2020999488,23747408543,10238569480,0,0,0,0,0,0,0,15449
10,226436,225308,301728,2824112669,254566632,295597,1719409481,2166753536,890551870,541713816,29745,2146982930,1625073632,4756944281,4333540984,545581,545628,7866226139,540220368,326749,4432658452,1083035336,20203527310,7075563480,26902,2459701369,2166786392,27095887131,10325385208,0,0,0,0,0,0,0,18693
11,248976,247900,318198,3253343785,279953133,318747,3385572936,2382400688,1067550421,595621192,35099,1711809526,1191208480,6164932883,4169230360,545582,545666,8031812320,540048832,354918,4040758208,595636664,19231541289,7147185176,31518,2748908166,2382431416,26021207663,10125253256,0,0,0,0,0,0,0,22019
12,271471,270570,333466,3320165013,305332616,341132,2839108129,2498921064,678279714,615091744,40591,1252582085,1845207256,4769969928,4959220064,545579,545631,8684631040,539933632,382398,4218762517,625038848,16813788425,6875055520,36217,2777550305,3125039240,23810101247,10625133608,0,0,0,0,0,0,0,25403
13,293989,293309,347457,3704315525,330729898,362561,2175791029,2598160360,1004337586,649576240,46559,1819529064,1934151080,4999657679,5181887680,545607,545593,8179778624,539881184,409196,3945876110,649591072,21012491282,7145146584,41252,3472310950,3247783536,28430678342,11042521192,0,0,0,0,0,0,0,29112
14,316832,316098,360561,3124949543,356153784,383663,3217323161,2606534448,795054172,631081040,52527,2581101227,2104133272,6593478560,5341748760,545618,545559,9883573520,539851592,435827,4159776824,640417096,17860140490,7258243296,46238,3445356718,3218776312,25465274032,11117436704,0,0,0,0,0,0,0,32810
15,339242,338675,372596,3498757607,381525248,403589,3610422815,2637550264,1235582586,659416240,58848,2465862631,1928739544,7311868032,5225706048,545639,545517,7924842828,539818160,461456,3654614857,648394032,18397446185,7203547216,51469,3983827305,3908410728,26035888347,11760351976,0,0,0,0,0,0,0,36686
16,361786,361786,383753,3789611548,406774354,422885,4405169549,2617522920,1327865020,631853056,65369,2070714308,2055941992,7803748877,5305317968,545631,545477,9575480978,540223744,486761,4289581966,643354016,21336282775,7080893296,56938,4724743079,3883407840,30350607820,11607655152,0,0,0,0,0,0,0,40772
17,384456,384537,394325,4605298680,432103586,441484,4677129307,2628144816,1139724007,657055048,71960,2500185989,1913992056,8317039303,5199191920,545612,545476,8476795008,539635160,511368,3917430297,644350976,22150314436,7129951088,62378,5213767227,4536723088,31281511960,12311025152,0,0,0,0,0,0,0,44839
18,407077,407188,403942,5405966748,457393901,459412,4538814095,2628508376,1087062819,632742056,78662,2959104608,1931691528,8584981522,5192941960,545636,545477,8526761054,539528200,535540,4472035482,646475696,19784291112,7111137368,67943,4944606866,5207548808,29200933460,12965161872,0,0,0,0,0,0,0,48931
19,429722,429826,412851,5330892205,482612701,476589,4976512725,2616059592,1218223896,654004560,85658,2680838591,1897403184,8875575212,5167467336,545650,545473,8597201143,539547808,559073,3719789445,640130584,19672764177,7123415360,73656,4508476431,5155795872,27901030053,12919341816,0,0,0,0,0,0,0,53242
20,452451,452364,421179,4606497606,508018656,493194,4286000237,3264025808,886214553,627002840,92689,2902534070,1880901200,8074748860,5771929848,545660,545474,6256988437,538963656,582031,3134415236,642664424,15548436797,7068976424,79423,4695924980,5828275016,23378777013,13539915864,0,0,0,0,0,0,0,57572
21,475009,475108,429088,4771404540,533419346,509360,3568272804,3212295440,853452100,642499792,99686,2191997492,2480963544,6613722396,6335758776,545648,545466,6183789344,539032240,604511,3269308957,628472520,15062507670,6965749848,85165,4599877955,5699305344,22931694582,13293527712,0,0,0,0,0,0,0,61886
22,497691,497678,436381,4729734214,558624522,524915,3582548366,3191032776,1309923462,611501136,106856,2654304281,2445919472,7546776109,6248453384,545631,545453,5822266997,538874240,626570,3290449320,628106560,14870940144,6908768072,91011,5240425853,6333970088,23401815317,13870844720,0,0,0,0,0,0,0,66315
