num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx,crx
1,22389,22621,60802,259771635,7428885,25323,304221001,318571600,222545871,105879168,990,306852748,221174800,833619620,645625568,545535,545535,6851524176,433668848,25828,3327378250,634725432,12917372581,1843342752,1040,543619328,274920600,16788370159,2752988784,0,0,0,0,0,0,0,653,683
2,45364,45497,106299,437994716,-29466152,47294,460072210,486110416,113575035,120622848,3670,272168720,241281976,845815965,848015240,545535,545535,6223625977,540189176,49101,3219470099,616063184,15314924012,1098269632,3318,571879137,243641336,19106273248,1957974152,0,0,0,0,0,0,0,2434,2654
3,68384,68608,141317,540652724,23019594,66182,699792793,711746800,139768324,139625424,7541,389548696,418912664,1229109813,1270284888,545535,545535,6155166943,540744152,70069,3030037951,571501616,13351290267,6832561120,6379,587337640,285313344,16968665858,7689376080,0,0,0,0,0,0,0,5056,5584
4,91647,91687,169531,894326107,30480597,82525,589608391,966431152,179741164,161108016,12557,733796170,483251744,1503145725,1610790912,545535,545535,6038690567,541189392,89279,3116006568,638473296,14996995733,6927910864,10055,642390742,319935304,18755393043,7886319464,0,0,0,0,0,0,0,8333,9415
5,114973,114936,192645,1104836490,37788538,97101,771271771,1107332208,477844135,180092736,18185,755082138,540312112,2004198044,1827737056,545535,545535,6446618723,541538360,107003,3052907277,570480504,14073149958,6829182672,14109,795558604,366061824,17921615839,7765725000,0,0,0,0,0,0,0,12065,13860
6,138467,138407,212317,1174334826,45044701,109993,948825037,1164570176,230830229,188880536,24243,683780639,566829512,1863435905,1920280224,545535,545535,6903366346,541736656,123419,3734828096,590712248,15174559940,6998642656,18449,815185978,386021232,19724574014,7975376136,0,0,0,0,0,0,0,16171,18687
7,161922,162037,228817,1491559800,52215330,121449,1174652231,1231661144,260121898,199617656,30595,1217364958,798185880,2652139087,2229464680,545535,545535,6226004360,541933552,138653,3220427115,615868128,14520682713,6979599216,23020,883951173,407278576,18625061001,8002745920,0,0,0,0,0,0,0,20629,23886
8,185415,185459,243037,1499106032,59267450,131742,1508350947,1509415720,328582020,209468352,37087,1086001795,837775792,2922934762,2556659864,545535,545535,5957307649,542067216,153035,3231022108,646930480,15332726107,6900347488,27860,929974223,640985440,19493722438,8188263408,0,0,0,0,0,0,0,25278,29257
9,208797,209025,255175,1929540611,66414744,140776,1769157281,1421816208,309300297,230350328,43665,1757530832,921270128,3835988410,2573436664,545535,545535,6299251866,541986600,166372,2934938419,710931456,14577897964,6872068688,32671,1002431741,469081088,18515268124,8052081232,0,0,0,0,0,0,0,30028,34639
10,232474,232701,265889,2421669663,73388365,148858,1801027692,1498411224,319999641,249775952,50313,1461747126,998981528,3582774459,2747168704,545535,545535,5990596693,541830584,179082,3097816076,749184208,14420182349,6992736840,37765,1277049278,495411848,18795047703,8237332896,0,0,0,0,0,0,0,34963,40260
11,256082,256610,275135,2048994791,80305698,156133,1973692873,1823742728,628594597,253474544,56829,1460678404,1013774576,4062965874,3090991848,545535,545535,6857061142,541857432,190917,3232693379,782265320,14489449364,7090494832,42832,1135973233,517584664,18858115976,8390344816,0,0,0,0,0,0,0,39890,45746
12,279830,280168,283195,2800873352,87395560,162541,2738675243,1913362568,363097412,273374376,63241,1610200607,1093368384,4711973262,3280105328,545535,545535,6876204350,541998328,202043,3232641359,546705688,15888295657,7113296800,47900,1198731931,542402944,20319668947,8202405432,0,0,0,0,0,0,0,44867,51140
13,303575,303772,290266,2534899702,94536181,168372,2705637821,1988908512,378185209,276818144,69440,1397036109,1107170936,4480859139,3372897592,545535,545535,6415791311,542009104,212400,3317707109,571230048,14971580513,7113761240,52873,1271193598,569133072,19560481220,8254124360,0,0,0,0,0,0,0,49735,56341
14,327263,327751,296609,2695302375,101596368,173733,3617311663,2073452952,458691232,288813672,75342,1773082059,1155165056,5849084954,3517431680,545535,545535,7282867212,541958872,222183,3147226739,593556704,15093253601,7122302632,57662,1582568737,593556856,19823049077,8309416192,0,0,0,0,0,0,0,54418,61443
15,351021,351229,302247,3537701820,108517634,178595,2862485843,2176834056,444786066,311016704,81026,1882924838,1243925288,5190196747,3731776048,545535,545535,6665820151,541648504,231373,3139030091,626180448,16654137527,7152449976,62367,1696405370,621986344,21489572988,8400616768,0,0,0,0,0,0,0,59022,66267
