num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,20001,20001,38427,256628477,21072837,38609,192832480,174784280,158441237,87392128,567,217517332,87828280,568791049,350004688,545535,545535,10457422588,288264936,39379,5198028506,350934384,20009880277,323603168,648,563036531,191962792,25770945314,866500344,567,1826689412,542234760,14542969362,995897352,16369658774,1538132112,346
2,40001,40001,72896,651033085,42160637,74477,258164441,229325368,141335312,114642152,2270,198936118,114676040,598435871,458643560,545535,545535,10384891182,375692720,77053,4428302503,352354056,18390968465,4717279776,2304,606577384,346135504,23425848352,5415769336,2271,3808437997,1053457136,14119954775,1299767120,17928392772,2353224256,1349
3,60001,60001,103677,806839551,63235088,108058,374259135,379343992,175240371,121855496,4882,303176067,243643256,852675573,744842744,545535,545535,9991880531,375739520,113234,4648545498,367899888,18653201294,4781922416,4810,939664566,617004696,24241411358,5766827000,4888,3898918060,1708625456,14984289319,1699707240,18883207379,3408332696,2925
4,80001,80001,131559,1309975313,84335170,139662,396007270,393252152,478934028,129740624,8219,424575195,259523688,1299516493,782516464,545535,545535,10174370473,375722576,148041,4489075524,393294472,19016859154,4719165888,7945,1434059022,923692496,24939993700,6036152856,8237,6614648996,2192171280,16907177483,2177718472,23521826479,4369889752,4931
5,100001,100001,156544,1608286515,105435768,169214,713206475,559817608,191662927,138195936,12300,800565818,276366592,1705435220,974380136,545535,545535,9528149722,375726480,181529,4563323022,419905952,20105203141,4758624912,11732,1465105140,1126992424,26133631303,6305523288,12331,9854279196,2809481000,21776659850,2688513400,31630939046,5497994400,7333
6,120001,120001,179043,1902897407,126538824,196844,554713544,594731416,399237513,146490232,17039,527817414,293014312,1481768471,1034235960,545535,545535,10258098015,375686696,213784,4825111089,446091600,18802593860,4758027216,16088,1635550329,1500898048,25263255278,6705016864,17100,9826390610,3479613760,26676147159,3268840968,36502537769,6748454728,10069
7,140001,140001,199197,2109893693,147711978,222901,987820964,631723728,263307145,155574608,22247,565112976,311081440,1816241085,1098379776,545535,545535,9440099472,375594576,244853,4296373082,478054832,18951414380,4738113648,20839,2134146749,1915529984,25381934211,7131698464,22356,12776099552,4474667608,25455273676,3987485256,38231373228,8462152864,13051
8,160001,160001,217421,2539809585,168854016,247377,1063990050,657075464,531160411,164311760,27950,545188050,491302184,2140338511,1312689408,545535,545535,11054308018,375594528,274672,4391718230,491078848,20086263350,4763932208,25986,2346907280,2384936592,26824888860,7639947648,28112,32845110817,5476207368,23952089912,4772137944,56797200729,10248345312,16331
9,180001,180001,233762,2607037528,189953090,270583,1184768015,811944960,308279233,159541704,34013,627171131,478667816,2120218379,1450154480,545535,545535,10215765657,375523168,303509,4589961033,487189576,18876799623,4871637632,31369,2755922811,2870147176,26222683467,8228974384,34242,20785313093,6450219144,23515815338,5702604840,44301128431,12152823984,19836
10,200001,200001,248487,2862546089,211119109,292375,1320766072,811057488,360285530,162244944,40554,735303888,480503392,2416355490,1453805824,545535,545535,10262219520,375476360,331502,4196163200,484031952,19474337737,4865255536,37148,3950736752,3371888104,27621237689,8721175592,40895,26604539121,7867533560,34459480010,6822614320,61064019131,14690147880,23540
11,220001,220001,261656,3291960192,232267032,312929,1255137885,803459808,671626053,157323160,47229,931352176,472003304,2858116114,1432786272,545535,545535,10841491013,375448000,358261,4269891533,482116544,19386550816,4820882880,42981,3631082923,3846751416,27287525272,9149750840,47687,31597459413,9219590648,35397884405,8082177352,66995343818,17301768000,27307
12,240001,240001,273608,3737020333,253441128,332423,1489538457,998079208,694126080,166375536,54277,687638856,491352880,2871303393,1655807624,545535,545535,10200084112,375375088,384307,4452684896,507173920,18622571392,4845057640,49120,3805806754,4277954088,26881063042,9630185648,54878,49926800723,2368061632,37638897430,967429408,87565698153,3335491040,31327
13,260001,260001,284332,4010201314,274592304,350739,1751360479,970045696,748101587,161674280,61580,794079734,646731032,3293541800,1778451008,545535,545535,10029256346,375345136,409339,4296428950,484980328,18844579324,4850399816,55364,2864417974,4808656920,26005426248,10144037064,62319,43620245663,4403337272,42618470681,2176015088,86238716344,6579352360,35426
14,280001,280001,293942,4049120972,295793373,368315,1533082432,998016744,452776470,161789664,68859,1054357511,647125240,3040216413,1806931648,545535,545535,10532846280,375272760,433402,4433645287,496099856,19459601769,4794814928,61555,3972809450,5432609768,27866056506,10723524552,69800,50313208191,6487013944,52048247488,3960071680,102361455679,10447085624,39558
15,300001,300000,302804,4631293692,316964560,385093,1947342016,1110315248,733409794,158611616,76246,876117234,625745512,3556869044,1894672376,545535,545535,9685631480,375216488,456966,4178021224,480071240,20328236818,4758517712,67876,5619450950,5891405760,30125708992,11129994712,77417,57669544677,713384304,58126312277,5999500672,115795856954,6712884976,43698
16,320001,320000,310699,5127705068,338142549,401090,2141729036,1132604136,465653194,161828144,83807,903022246,639897856,3510404476,1934330136,545535,545535,11230405864,375156736,479817,4681348528,485460944,18726259394,4854007304,74235,4326039556,6437948400,27733647478,11777416648,85246,66202566888,3708941400,65782153571,8252276656,131984720459,11961218056,47991
17,340001,340000,317849,5439107228,359299562,416182,1729740616,1170504408,827678507,162582160,91425,767062972,650229032,3324482095,1983315600,545535,545535,10328751890,375104448,501715,4414373261,501665280,19404433982,4874428912,80607,6184434337,7036591408,30003241580,12412685600,93089,77864379340,6419152224,68774044576,3100587408,146638423916,9519739632,52200
18,360001,360000,324270,5232607700,380520413,430504,2422606309,1143433016,925095169,163342416,99217,1055009737,653403504,4402711215,1960178936,545535,545535,10213973798,375026792,523165,4073803649,490063400,18770170892,4900418712,87123,5969096818,7524181448,28813071359,12914663560,101150,93905377441,1481130160,81594717486,5382903152,175500094927,6864033312,56468
19,380001,380000,330232,6237296846,401719632,444288,2615314531,1139850200,472079569,316044304,107006,1112475583,790051064,4199869683,2245945568,545535,545535,10513165671,374933728,543908,3460145518,488532032,19811334813,4885094912,93501,7442345133,7983499336,30713825464,13357126280,109206,104086632013,5535379752,101137703322,2259484120,205224335335,7794863872,60716
20,400001,400000,335467,6334623078,422929216,457403,2581562415,1235761824,814349318,200628280,114925,1182175759,702109016,4578087492,2138499120,545535,545535,10164085676,374825528,564191,4557156556,411946672,19155093637,4840103496,100012,5823167265,3225431640,29535417458,8477481808,117382,122579889963,4178540512,100887880511,3272981200,223467770474,7451521712,64948
21,420001,420000,340194,7413274288,444121042,470104,2820234477,1285773208,609090166,230270048,122659,1191644954,805945112,4620969597,2321988368,545535,545535,10546855738,374805440,583664,4597125666,353829656,19500639929,4852627440,106224,7610933449,3248994920,31708699044,8455452016,125436,133728320878,4029981312,112982485000,3798640960,246710805878,7828622272,69098
22,440001,440000,344485,7722083604,465322368,481888,2730644322,1273679760,783944844,231571592,130461,1288507352,810500584,4803096518,2315751936,545535,545535,11016308182,374683016,602419,4747094414,351625776,19604336394,4879959936,112534,7046132978,3739002256,31397563786,8970587968,133603,152239552979,7883769768,128536879889,6335046768,280776432868,14218816536,73239
