num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx,crx
1,6814,7059,6229,66161429,1160,5207,180555586,210784328,32320054,210671976,109,91984910,286066248,304860550,707522552,39534,39534,435121394,-170800000,7850,264064314,210784296,922964121,632352944,289,359731805,370251336,1546760240,1213388576,106,784406906,267030024,1336430149,137913632,2120837055,404943656,0,0
2,13692,13783,11236,101856429,1042,9622,242392438,255794600,43378822,255794600,475,100112770,255794600,385884030,767383800,38034,38034,394789176,39009184,15457,191978895,255794632,711885677,534639152,992,277502794,345812264,1181367366,1136246048,360,1038798049,532476288,1204995954,162680688,2243794003,695156976,0,0
3,20376,20423,15456,148285664,1160,13202,343473584,308491928,41071813,308491928,1057,109574463,308551024,494119860,925534880,36534,36534,468185159,38094744,22767,168313975,308491960,733720510,616983816,2175,404675205,308491896,1306709690,1233967672,800,1835304945,688805104,1580614078,383901720,3415919023,1072706824,0,0
4,27181,27114,19228,212638672,1160,16365,430713514,280503960,66452626,280503960,1871,126864489,280503960,624030629,841511880,35034,35034,414956214,37130048,30266,159548370,280546544,688992728,561007880,3680,636545915,280503928,1485087013,1122058352,1366,2619170337,875550144,2163501948,424690232,4782672285,1300240376,0,0
5,33913,34102,22618,274241955,1160,19031,581410643,504796384,46389383,252398176,2927,152194732,252441888,779994758,1009636448,33534,33534,358710235,36133184,38025,158865821,252398208,677141367,505919616,5651,981108410,252398120,1817115598,1010715944,1972,2654344264,934016392,5851977776,547929656,8506322040,1481946048,0,0
6,41532,41910,25809,363407958,1160,20715,919443414,458532696,77772675,229246744,4230,470610280,458493496,1467826369,1146272936,32034,32034,407707074,34590560,47330,136111737,229246776,584642745,458493448,9187,2295724289,458532600,3016478771,1146272824,2727,4438381220,1022737464,2588278004,505262976,7026659224,1528000440,0,0
7,49176,48414,28596,393827971,12450,22384,1161794403,709357784,57145463,236486512,5628,587707115,709357928,1806646981,1655202224,30534,30534,350537706,33338744,55488,139723017,236452640,574737309,472943864,12204,3171483913,472905280,3885944239,1182301784,3577,4973634791,1403551952,3943703058,705288752,8917337849,2108840704,0,0
8,55909,54904,30658,469102858,12829,23330,1380598653,736214864,63369784,244387296,7082,506115233,733216760,1950083670,1713818920,29034,29034,330471502,32447592,62743,154747112,245476968,547986164,490953824,15305,3948562123,490992352,4651295399,1227423144,4504,5398069555,1282540384,4022399855,732016688,9420469410,2014557072,0,0
9,62209,61486,32448,550410244,1160,23984,1447168388,770340752,66549959,255684904,8884,597698973,767054712,2111417320,1793080368,27534,27534,351014379,31485120,69568,138391094,256849448,558095062,513698768,18432,4914350367,513737944,5610836523,1284286160,5416,6550164235,1487840352,4537395798,811281824,11087560033,2299122176,0,0
10,68571,68614,33903,559795128,12821,23583,1594399194,798257640,70087703,266072768,11068,790453757,798234128,2454940654,1862564536,26034,26034,343626580,30176984,76956,146679208,262745232,545241471,525490464,22506,6719751043,788311344,7411671722,1576547040,6398,5206589699,1662426200,5316391610,928099712,10522981309,2590525912,0,0
11,74910,74877,35203,571047864,1160,23529,1664477178,812969560,63846555,270972568,13015,735136177,812996688,2463459910,1896938816,24534,24534,312285451,29258912,83516,135538841,268645544,653730718,268645480,25932,7967412518,806021368,8756682077,1343312392,7460,24768492259,653776408,7350232114,1067357448,32118724373,3298355728,0,0
12,81590,81286,36410,623839770,6800,23115,1800231336,828889624,64022200,276296512,14954,773144728,828940344,2637398264,1934126480,23034,23034,327822437,28280768,90558,183136157,274487952,601803652,274487888,29959,9469006591,823582272,10253946400,1372558112,8127,7678014821,580832136,7757152883,365396032,15435167704,4006185545,0,0
13,87799,87680,37273,714616422,12829,22395,1954743926,845417816,61584010,281788656,17551,823657886,845366104,2839985822,1972572576,21534,21534,320897549,27341120,97092,120173505,280513392,483167050,280515440,33758,11022670104,841660120,11626010659,1402688952,9041,10220678366,622285592,10235376412,389367584,20456054778,4714015361,0,0
14,94250,94192,38075,734001835,12829,21446,1945258429,865429136,60833935,288458744,19538,832604939,865428736,2838697303,2019316616,20034,20034,298986889,26282352,103877,125229262,286836552,502284877,286872752,37881,13288422199,860618376,13915936338,1434327680,9761,11630501346,364068632,10374581205,563453936,22005082551,5421845177,0,0
15,100570,100504,38698,751437566,3933,20604,2061683335,888652280,59716747,296211096,21642,942509077,888676992,3063909159,2073540368,18534,18534,297518558,25335656,110430,120437619,294672672,438984125,294672608,41888,15767840079,884171128,16327261823,1473516408,10357,11662117115,603853112,10888818441,746060560,22550935556,6129674993,0,0
16,106748,106773,39180,793165916,12829,19484,2069534072,908601288,57633783,302850200,23848,902401970,908550616,3029569825,2120002104,17034,17034,256650328,24427904,116665,120408815,301082648,450695568,301082584,45841,18894207329,903440592,19465311712,1505605824,11024,13656981471,649286816,13054578529,779872392,26711560000,6837504810,0,0
17,113050,112992,39576,920875187,12829,18386,2240586818,933144984,55147693,311042880,25905,1003759597,1244189696,3299494108,2488377560,15534,15534,227998415,24181456,123028,103247022,309175032,441717223,309174968,49839,21633187610,1236922520,22178151855,1855272520,11491,13183591635,959395424,16109262938,573998224,29292854573,7545334626,0,0
18,119661,119582,39996,916199165,1160,17502,2327584931,958087056,55237708,319379256,28184,1050450416,1277458592,3433273055,2554924904,14034,14034,874813931,23950640,130024,106791455,317043328,438352316,317043264,54041,26425918268,1268394264,26971062039,1902480856,11202,18027065500,852341736,16520224323,598946464,34547289823,8253164442,0,0
19,125939,125882,40231,948958249,18874,16164,2354357512,1268414224,50888276,315738040,32111,1059130068,1262960320,3464375856,2847112584,12534,12534,246213060,20920232,136282,105732346,316210240,422805496,316210232,58057,31663314177,1265134152,32191852019,1897554624,10962,19178243323,665660824,18249075683,995589520,37427319006,8960994258,0,0
20,132130,132392,40407,1015079983,22744,14838,2466585341,1271172280,115568410,317793064,33987,1420743234,1271227072,4002896985,2860192416,11034,11034,203305237,19619632,142642,86189164,316558504,375358985,316558440,62121,46431880718,1267733096,46893428867,1900850040,9881,20129186788,912139200,20726639860,618655336,40855826648,9668824075,0,0
21,138963,139071,40573,1074346842,24498,13657,2578950886,1274619432,49828272,317279464,35817,1348115286,1269050040,3976894444,2860948936,9534,9534,239239420,18557256,149718,88319181,317754288,385092256,317754224,66547,48806773696,1593861224,49280185133,2229369736,9478,22546702413,1042757416,25078892351,778540160,47625594764,10376653891,0,0
22,145723,146516,40734,1253684567,12544,11942,4036431576,1269691512,52310830,317409680,37333,3197428683,1587065384,7286171089,3174166576,8034,8034,191676958,20778064,157447,79813101,314678744,385349123,314678680,71555,73569487043,1574100720,74034649267,2203458144,8629,23799421550,1060816584,31620216976,838708120,55419638526,11084483707,0,0
