num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,7017,7977,6789,142591737,146,5700,528915937,95184552,71848404,95184544,354,287162125,97662480,887926466,288031576,39534,39534,947310508,-67228728,8916,451096134,95184520,1489388849,380756200,299,305914218,106685376,2246399201,582626096,106,784406906,267030024,1336430149,137913632,2120837055,404943656,0
2,13817,14719,11773,191394256,-9074,10043,453371648,139270016,80067638,139309680,1190,217575432,139270008,751014718,417849704,38034,38034,581850019,27222640,16481,282721743,139309672,1072132565,417809984,1023,284825519,139889112,1639679827,697008768,360,1038798049,532476288,1204995954,162680688,2243794003,695156976,0
3,20820,21329,16017,195182806,-1482,13616,569843532,163997600,56338393,163997592,2625,336656701,163997592,962838626,491992784,36534,36534,755876832,26547488,24070,367742656,163997608,1047615229,328035616,2340,234927558,163997672,1650285443,656030896,800,1835304945,688805104,1580614078,383901720,3415919023,1072706824,0
4,27437,28215,19782,263410725,2906,16691,800988580,192320576,77145340,191988584,4438,306911704,191944864,1185045624,576254024,35034,35034,471832719,25832776,31551,172087820,192341456,717796455,384682840,3934,235901167,192341520,1125785442,769365816,1366,2619170337,875550144,2163501948,424690232,4782672285,1300240376,0
5,34354,34822,23190,374703509,-2573,19226,921916518,211434808,74210436,211434800,6640,388086716,210630152,1384213670,633499760,33534,33534,597084111,25090912,39209,273569661,209611008,1000928919,419473536,5941,413906251,209736864,1688404831,838821408,1972,2654344264,934016392,5851977776,547929656,8506322040,1481946048,0
6,41146,41520,25988,369115232,9200,21059,1270736699,375360608,75489874,187680296,9385,694989530,375394480,2041216103,938435384,32034,32034,575854472,24381424,46686,274392836,187680312,1163315976,375360560,8455,472241168,187723368,1909949980,750764240,2727,4438381220,1022737464,2588278004,505262976,7026659224,1528000440,0
7,47776,48172,28496,506519332,-10842,22555,1343845772,343550976,80823432,171808360,12223,594197160,343548968,2018866364,858908304,30534,30534,483214449,23700512,53849,270391565,171815728,956090512,343548912,11063,516484903,171774552,1742966980,687139192,3577,4973634791,1403551952,3943703058,705288752,8917337849,2108840704,0
8,55132,55068,30583,484289721,12234,23068,1883921048,430130808,100515431,143363632,16217,616717702,430141064,2601154181,1003635504,29034,29034,834656911,22542448,62024,235172687,142478184,949436967,285002520,15114,853023634,142478248,2037633288,569958952,4504,5398069555,1282540384,4022399855,732016688,9420469410,2014557072,0
9,61522,61516,32372,532493058,-9461,23671,1939565533,435548704,94921083,108877672,19573,704985526,435514752,2739472142,979941128,27534,27534,714018851,22700552,68885,157409712,111247136,792208480,333612200,18174,759610071,111204144,1709228263,556063480,5416,6550164235,1487840352,4537395798,811281824,11087560033,2299122176,0
10,67969,67942,33913,742984724,-277,23962,1928365033,432541784,155221773,86499224,23232,933848440,432533664,3017435246,951574672,26034,26034,460858782,21871536,75717,194160766,88397576,811380773,265090976,21455,1162856936,88363752,2168398475,441852304,6398,5206589699,1662426200,5316391610,928099712,10522981309,2590525912,0
11,74282,74542,35184,686347703,12234,23546,2281457773,463774680,112718301,46373368,27184,1015299282,417398272,3409475356,927546320,24534,24534,348181347,21219224,82598,178235418,49368984,635625862,246675344,25297,934344958,98670256,1748206238,394714584,7460,24768492259,653776408,7350232114,1067357448,32118724373,1721133856,0
12,81028,81478,36384,767092277,-9450,22866,2816191048,463364704,214588664,42157952,32033,871243472,463368768,3902023184,968891424,23034,23034,392084950,20834592,90207,205620655,48531200,807415113,193962592,29703,1226177947,145472016,2239213715,387965808,8127,7678014821,580832136,7757152883,365396032,15435167704,946228168,0
13,87498,87774,37291,1088002560,1392,22497,2685880246,498118928,58936671,38314040,36162,688777011,498116368,3433593928,1034549336,21534,21534,452686398,20072872,96856,210110466,40452744,845889580,202263576,33376,1708379517,121394256,2764379563,364110576,9041,10220678366,622285592,10235376412,389367584,20456054778,1011653176,0
14,93815,94458,38119,1108160126,2080,21860,2600875914,518015408,165562322,34276848,40625,954235207,513613088,3720673443,1065905344,20034,20034,546106231,19420160,103758,149335884,39105680,702990388,173284920,37391,1440395322,138627952,2292721594,351018552,9761,11630501346,364068632,10374581205,563453936,22005082551,927522568,0
15,100241,101143,38712,1216343431,12688,20624,3094020637,546609232,104929414,36439464,45554,1299468522,546593096,4498418573,1129641792,18534,18534,406993838,18770080,110713,173452022,37599392,743148676,187827368,41788,1482585712,150307344,2399186410,375734104,10357,11662117115,603853112,10888818441,746060560,22550935556,1349913672,0
16,106739,107227,39212,1263400579,23773,19389,3335738821,559044312,116014085,34286472,50061,958833283,548053640,4410586189,1141384424,17034,17034,549257724,18379928,117143,195332517,34693664,753054081,173298728,46011,1908011031,138683504,2856397629,346675896,11024,13656981471,649286816,13054578529,779872392,26711560000,1429159208,0
17,113150,113273,39583,982049246,0,18297,3289051847,597567544,69177825,36660008,54440,873210899,549942192,4231440571,1184169744,15534,15534,387931335,17221504,123382,152045915,37053136,622235944,148257616,49934,1945742405,148212528,2720024264,333523280,11491,13183591635,959395424,16109262938,573998224,29292854573,1533393648,0
18,119999,119430,39933,1155682844,1392,17295,3567718068,620933496,51240245,35821408,59251,1101128186,608352832,4720086499,1265107736,14034,14034,351491387,16695800,130098,112612489,36197232,478725600,144788856,54173,1840149028,181020000,2431487117,362006088,11202,18027065500,852341736,16520224323,598946464,34547289823,1451288200,0
19,126557,125880,40200,1330890396,12850,16223,3374933886,636556792,72239515,37441360,63894,837526364,636506680,4284699765,1310504832,12534,12534,289212121,15995904,136794,109696125,37693968,671120578,150809752,58335,2553477933,188515936,3334294636,377019656,10962,19178243323,665660824,18249075683,995589520,37427319006,1661250344,0
20,133769,133075,40455,1562642702,36000,14726,4015459800,664789328,68116499,40886632,69248,1747782163,857921568,5831358462,1563597528,11034,11034,334161175,15815352,144794,182165891,34336096,748723846,137372696,63453,2443038651,206036528,3373928388,377745320,9881,20129186788,912139200,20726639860,618655336,40855826648,1530794536,0
21,139961,139698,40590,1567809528,35312,12980,3641384624,662351528,38243406,41428328,73737,1513261154,910702328,5192889184,1614482184,9534,9534,253263532,14938528,151170,99979366,37883176,518543073,151532584,67741,2130021472,189451856,2748543911,378867616,9478,22546702413,1042757416,25078892351,778540160,47625594764,1821297576,0
22,146624,145956,40721,1729287815,23693,11689,4031977667,700805448,70071758,36916280,77840,3059852238,922123880,7161901663,1659845608,8034,8034,267184469,14242576,157575,138309519,28207504,558431717,112863792,71884,2699359886,197495504,3396101122,338566800,8629,23799421550,1060816584,31620216976,838708120,55419638526,1899524704,0
