num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,7003,6836,6193,75247131,1042,5233,168133932,87471608,47697839,87471608,181,121960368,99642488,337792139,274585704,39534,39534,468325589,-47485560,7857,239665632,87388792,467849310,174943136,285,384961388,170596064,1092476330,432927992,0,0,0,0,0,0,0,0
2,13793,13847,11372,157952011,1042,9786,333491806,194155992,51529018,96684344,636,117431519,96684344,502452343,387524680,38034,38034,410968657,39042032,15714,185378865,97061064,381685879,97061040,944,367392805,159079360,934457549,353201464,0,0,0,0,0,0,0,0
3,20777,20666,15875,216606343,12829,13621,429261790,204568976,41668589,101750192,1424,136625612,203500392,607555991,509819560,36534,36534,495949636,38103816,23561,222838804,102364488,426982456,102326312,2166,290468542,204652704,940289802,409343504,0,0,0,0,0,0,0,0
4,27760,27470,19648,259530587,12128,16618,457306596,315932312,44748159,105310776,2624,160195615,210621496,662250370,631864584,35034,35034,384277145,37208296,31375,156618533,105310768,343611892,105310744,3931,310248802,210621520,810479227,421243032,0,0,0,0,0,0,0,0
5,34929,34540,23176,306259939,1160,19246,592584332,331478992,48508345,109725888,4119,196156050,219932352,837248727,661137232,33534,33534,394353432,36200216,39509,147055585,110605872,331959561,110605848,6238,412550174,221211680,891565320,442423400,0,0,0,0,0,0,0,0
6,42150,42089,26313,338145023,12712,21119,1058422442,451706552,58536456,112061144,6029,326120433,336183448,1443079331,899951144,32034,32034,451027881,35239816,48219,165391919,113106272,366748714,113070200,9283,575310300,226140432,1107450933,452316904,0,0,0,0,0,0,0,0
7,48798,48627,28555,405304988,12901,22117,1143044961,575439600,62990825,114185432,8032,434608739,456589208,1640644525,1146214240,30534,30534,444780480,34337944,55423,146257308,115242952,352030080,115242928,12329,694995108,345766976,1193282496,576252856,0,0,0,0,0,0,0,0
8,55753,55125,30793,443292331,12829,23266,1297424232,596792136,66756196,118342400,10086,435695458,473409784,1799875886,1188544320,29034,29034,401442871,33411696,62893,154328660,119534592,382691672,119534568,15433,925062591,358603776,1462082923,597672936,0,0,0,0,0,0,0,0
9,62242,61678,32558,490049724,-10488,23794,1550915656,611886712,66330275,122313832,12266,465898662,489255352,2083144593,1223455896,27534,27534,331701122,32478416,69942,136414159,121140192,339432020,121103224,18719,965285373,363309744,1441131552,605553160,0,0,0,0,0,0,0,0
10,68486,68270,34072,520910346,12082,23861,1489008842,760840912,63502693,126806120,14440,488471417,634031104,2040982952,1521678136,26034,26034,383737721,31559624,76679,134177035,125374448,349222785,125374424,22062,1097883946,376160856,1581283766,626909728,0,0,0,0,0,0,0,0
11,75532,74643,35363,623920004,-10509,23720,1750381347,784290104,67919293,129522880,17079,608350513,647648304,2426651153,1561461288,24534,24534,366129433,30633056,83979,131062966,129921752,351377059,129921728,26170,1354596919,389765400,1837036944,649608880,0,0,0,0,0,0,0,0
12,82121,80954,36418,802671156,12829,23245,1757724606,788250016,74895680,130162832,19630,895687642,650814272,2728307928,1569227120,23034,23034,315018511,29716328,90781,121724074,131029832,342731536,131029808,30036,1447842769,524157208,1912298379,786216848,0,0,0,0,0,0,0,0
13,88797,87344,37364,852331212,12829,22995,1912259340,797955360,68509585,131754528,22106,697479813,790576128,2678248738,1720286016,21534,21534,273435304,28870616,97638,118501022,132965944,336222687,132965920,33835,1464697360,531903592,1919421069,797835456,0,0,0,0,0,0,0,0
14,94973,94105,38152,760331881,11909,22167,2172010747,821802312,82139577,135667392,24677,894903703,814058312,3149054027,1771528016,20034,20034,313826722,28164120,104532,107564249,138114392,331594102,138116480,37979,1596859787,552495472,2036018138,828726344,0,0,0,0,0,0,0,0
15,101149,100530,38742,1056483090,12829,21170,2485683651,996120968,66482518,142297664,27153,898707538,853788368,3450873707,1992207000,18534,18534,322518215,27325960,110974,113317112,144354648,323287799,144354624,41926,1691820582,577456464,2128425493,866165736,0,0,0,0,0,0,0,0
