num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,22246,22248,48887,241339826,18231418,35700,287826546,231526096,127050871,115763000,376,314859498,126405792,729736915,473694888,545525,545538,7886659160,423113608,36572,3689666086,594890136,15278386953,6413704623,434,1977598951,632873072,20945651990,7641467831,374,1539476561,607906296,12168354730,919558568,13707831291,1527464864,213
2,44459,44591,91133,463593267,40846178,69633,277016942,475067360,128803758,157012984,1479,267305551,314063240,673126251,946143584,545548,545484,6849756348,539132000,71817,3543684695,633460488,14529307797,6651088128,1501,1219484237,809135792,19292476729,8093684408,1482,4824808067,1221939480,18165785126,1270750896,22990593193,2492690376,885
3,66846,66896,128489,548718292,76595989,102172,419255461,606076608,213968582,199386888,3308,394201608,398705912,1027425651,1204169408,545555,545510,6561848834,539366384,106196,3341594803,606110216,14325198061,6869008880,3117,1583000180,996792096,19249793044,8471911192,3130,27327141914,1637724504,13648068014,1662129528,40975209928,3299854032,1955
4,89241,89241,161633,789587654,102087997,133280,589828403,1005580032,346159608,251385296,5593,577044483,502804536,1513032494,1759769864,545564,545596,6103692911,539531760,139725,3291869976,748251528,16373389798,6787550464,5315,2952442490,1240833736,22617702264,8776635728,5299,18725246626,2591539536,18174200484,2041863840,36899447110,4633403376,3424
5,111677,111650,191060,911359960,127523408,162982,567081872,932336664,345633266,306218424,8442,584647915,612470760,1497363053,1851025848,545551,545604,6645893807,539685000,172264,3439685243,625769272,15042593101,6837028304,7956,2125594609,1553057704,20607872953,9015855280,8016,18166294575,3032865264,29084700103,2521005064,47250994678,5553870328,5261
6,134251,134240,217387,1143066027,153050682,191581,780520943,1072225464,406160903,352029320,11851,1159017034,703976776,2345698880,2128231560,545540,545569,6285520866,539811096,204135,3445839910,714850888,14190642344,6790910376,10976,2093995948,1787109936,19730478202,9292871200,11284,26486925732,3633812864,42316240317,3096627360,68803166049,6730440224,7371
7,156868,156761,241153,1327321998,178356045,218737,903361490,1537867280,380808879,378005464,15729,817974121,755985296,2102144490,2671858040,545536,545587,7125739402,539965120,235060,3792244307,768975944,14566545041,6920556560,14463,2359776999,1922392616,20718566347,9611925120,14883,19149487543,4603839160,49965980793,3870272128,69115468336,8474111288,9787
8,179387,179349,262644,1453902150,203745904,244868,1158442304,1682811288,676049072,413439984,20005,1013967105,826922152,2848458481,2923173424,545517,545589,6924731095,540098528,265198,3695259790,845518208,15566416296,7152102832,18214,2637827545,2103572880,21899503631,10101193920,18920,19626201899,5729646768,65969740917,4457653088,85595942816,10187299856,12456
9,201886,201986,282602,2225174752,229115304,270120,1209919518,1787876528,479639050,446968600,24621,745391541,893971136,2434950109,3128816264,545544,545562,6208420474,540141968,294774,3984558351,892960936,17014678256,7151643000,22165,2897739412,2681890120,23896976019,10726494056,23259,23236416599,6692813776,84691466401,5267396036,1.07928E+11,12065044512,15324
10,224445,225279,300800,1841367535,254435965,294724,1385735526,1904973184,483200894,467508176,29745,834768667,935056080,2703705087,3307537440,545520,545546,6588570478,540176416,324415,3560172086,952550544,16054182962,7143943616,26499,3487146451,2857595968,23101501499,10954090128,27843,34947637796,8046583536,1.05884E+11,6112650199,1.40832E+11,14316532160,18465
11,248363,247731,317755,2107394953,279783904,318679,1701218964,1969797952,826448077,482258952,35099,1330538986,1446677680,3858206027,3898734584,545529,545561,7242867733,540058456,353885,3816508280,983172080,15875595237,6882115248,31065,3787934005,3441068952,23480037522,11306356280,32763,35366084233,9521384680,1.29505E+11,7025653046,1.64871E+11,16837509632,21832
12,270870,270248,332755,3153005707,305195669,340912,2020569636,2034278408,570901418,498994256,40591,1686386241,1496914936,4277857295,4030187600,545520,545576,6768560582,540078200,381393,3639815086,1026031712,17139266464,7124255104,35950,3968063984,3561704512,24747145534,11711991328,37983,42497274859,10148759379,1.55665E+11,8006404576,1.98162E+11,18578967115,25402
13,293449,292900,346879,2473234201,330606808,362483,3129309620,2112642248,1082187878,518107952,46559,1838563624,1554269616,6050061122,4185019816,545504,545592,9831384487,540143184,408229,3926072676,1057048064,16121696134,6904207600,40911,4610338423,4295025768,24658107233,12256281432,43231,52057913358,11584544405,1.85123E+11,9054904790,2.37181E+11,21265376597,29040
14,315931,315731,359804,2551077894,355824309,383155,2896791103,2210001584,635924225,541933032,52527,2308395582,1625743216,5841110910,4377677832,545521,545604,7566244280,540112136,434425,3503103275,552923944,15601215832,7187520856,45904,5000574826,4423123264,24104893933,12163568064,48745,60032084584,13113039602,2.16715E+11,10171153688,2.76748E+11,23213764095,32788
15,338542,338262,371874,3414036424,381234538,403020,2287453994,2292357960,1187063866,562097040,58848,2186211358,1686198512,5660729218,4540653512,545543,545632,10313786963,540126144,459957,3753985194,573490312,15962202130,6881474160,51054,4166032557,4587654584,23882219881,12042619056,54378,55892982062,14813414491,2.50582E+11,11355151269,3.06475E+11,26128783436,36629
16,361237,360958,383061,3475202089,406557845,422222,3522662083,2409947208,912070859,656912960,65369,2371823420,1807474232,6806556362,4874334400,545513,545645,7841284577,540386952,485131,3207559794,602508936,15688163538,7284228520,56544,5567562392,5422416328,24463285724,13309153784,60221,79513104954,16580767762,2.88308E+11,12606897534,3.67821E+11,29266633814,40649
17,383760,383577,393325,3143538300,431757485,440708,2609247073,2500186448,1295513206,625080488,71960,1974834911,1875173688,5879595190,5000440624,545512,545607,6766026149,540103456,509587,3552636616,631657736,15625900299,7500708256,62064,4658257700,5625574408,23836794615,13757940400,65986,74644935257,18416615342,3.27907E+11,13926392483,4.02552E+11,32548331913,44780
18,406302,406118,402970,3914206180,457025314,458705,3836216373,2627311864,874263612,656855432,78662,1614410027,1907590288,6324890012,5191757584,545496,545619,6855884233,540042296,533507,3060445320,642639456,14969963698,7055544280,67583,6063484155,5819769984,24093893173,13517953720,71903,95391771868,20344981318,3.68668E+11,15313636116,4.6406E+11,35967227244,48914
19,429212,428862,412136,5062482523,482446890,476176,3063870324,2593699704,847995335,648447016,85658,2015170395,1881140104,5927036054,5123286824,545441,545632,6766599887,540025544,557352,3322328147,633087664,15428180915,6963736624,73363,6844287509,6384996040,25594796571,13981820328,77931,93908944349,22387192897,4.14151E+11,16768628432,5.0806E+11,39612193751,53233
20,451818,451702,420452,4389912583,507695394,492539,3128406183,3259196544,1189884830,651866400,92689,2424263200,1889301968,6742554213,5800364912,545477,545615,6131694722,540016016,580366,3412254917,636567632,15788451052,7001872984,79314,5748622879,6423642880,24949328848,14062083496,84004,1.24E+11,24504450035,4.63325E+11,18291369432,5.87325E+11,43325367247,57571
21,474404,474413,428281,4662577362,532982514,508600,3326342030,3214120944,1517388118,642864888,99686,2512014614,1928491424,7355744762,5785477256,545490,545606,6747993077,539969488,602910,3054978422,622129352,15056134057,7500928304,85180,6950166457,6875855504,25061278936,14998913160,90114,1.18E+11,26820540511,5.14033E+11,19881859116,6.32033E+11,47399941734,61989
22,497423,497019,435761,4165609587,558152162,524371,4434984366,3187102112,935021130,610852008,106856,2995141892,2443306552,8365147388,6241260672,545476,545614,6664413757,539894360,625224,3158710833,618054296,15380773163,7416230896,91078,6988769911,7495705112,25528253907,15529990304,96281,1.27E+11,29133601692,5.66305E+11,21540097483,6.93305E+11,51564102342,66406
