num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,22358,22387,48878,314645527,15846128,35776,372371358,159962944,156485218,80015352,391,316195387,80275600,845051963,320253896,545550,545514,7913638049,295780136,36765,3392914883,400489448,15038301125,793907784,453,434599409,161532808,18865815417,1355930040,374,1539476561,607906296,12168354730,919558568,13707831291,1527464864,231
2,44741,44918,91363,398978457,17064898,69849,384740051,339574304,152451069,168888008,1553,139001639,168854120,676192759,677316432,545559,545520,9968727726,375924632,72194,2910267057,509399576,13034332347,4779351656,1565,486060667,334821816,16430660071,5623573048,1482,4824808067,1221939480,18165785126,1270750896,22990593193,2492690376,938
3,66957,67340,128623,1017200152,47662880,102600,839258920,395667040,234449128,197833520,3285,605541070,196058584,1679249118,789559144,545532,545536,28321968073,376104544,106778,4896408776,388038584,20083278327,4675875712,3194,1168699253,389686824,26148386356,5453601120,3130,27327141914,1637724504,13648068014,1662129528,40975209928,3299854032,2020
4,89245,89666,161538,729252492,63548605,133788,350390128,586482488,210827064,192476976,5570,278966537,192510864,840183729,971470328,545554,545583,6641578353,376065656,140304,2850020625,386261112,13216723829,4801699496,5297,717632021,578241552,16784376475,5766202160,5299,18725246626,2591539536,18174200484,2041863840,36899447110,4633403376,3427
5,111690,112142,191020,1278878689,79348637,163575,528065817,590413496,367980359,196830712,8456,781920371,385700024,1677966547,1172944232,545573,545527,7200968832,376131808,172890,3057301146,385659384,15422194590,4816193600,7888,1304056428,770641800,19783552164,5972494784,8016,18166294575,3032865264,29084700103,2521005064,47250994678,5553870328,5202
6,134711,134421,217547,2912507023,95098234,192198,1283604986,788897288,3336803179,197224320,11954,1580120426,383818464,6200528591,1369940072,545547,545491,44541306006,376430408,205130,4814280534,382216976,14724248467,4797346488,10944,1358588996,959520256,20897117997,6139083720,11284,26486925732,3633812864,42316240317,3096627360,68803166049,6730440224,7316
7,157279,156855,241667,2020961117,110919730,219609,740578548,780287608,540726965,188315064,15832,945887885,376601872,2227193398,1345204544,545545,545517,6145747517,376210640,236075,2803718092,378739568,13591448034,4733857296,14327,1075482468,1143516528,17470648594,6256113392,14883,19149487543,4603839160,40533915779,3870272128,59683403322,8474111288,9675
8,179568,179314,263306,2077029195,126630808,245560,1214172798,966827728,532165602,193399408,20186,1436096947,559714520,3182435347,1719941656,545541,545491,7740343886,376282864,266157,3669866699,373701016,14252382281,4880853352,18120,1392709755,1296899992,19314958735,6551454360,18920,19626201899,5729646768,36202401913,4457653088,55828603812,10187299856,12340
9,202009,201881,282958,2930222838,142402954,270560,1469876388,946799272,746066523,180874808,24877,899573726,542556288,3115516637,1670230368,545570,545441,7928540337,376272752,295562,3670174887,366190624,18344441954,4760151016,22155,2101446300,1647875024,24116063141,6774216664,23259,23236416599,6692813776,40313890868,5372230736,63550307467,12065044512,15198
10,224519,224365,301073,2604615234,158242736,294826,1548321432,1124485040,388415383,178146888,29912,801243697,534339040,2737980512,1836970968,545618,545456,6979175598,376372480,324469,2960256486,361910752,14384101023,4885405576,26488,1877408266,1813780328,19221765775,7061096656,27843,34947637796,8046583536,43435945553,6269948624,78383583349,14316532160,18311
11,247252,246841,317754,3720913735,173989861,318082,1858192197,1122230320,898723928,202479880,35357,1045437608,534449544,3802353733,1859159744,545623,545449,7083116247,376383272,352754,3720899914,359561648,14852735561,4879115640,31113,2045632585,2150566856,20619268060,7389244144,32763,35366084233,9521384680,60599513343,7316124952,95965597576,16837509632,21672
12,269687,269302,332810,2428883804,189747029,340317,1507306104,1126023008,818341692,176303072,41125,1171357993,528825808,3497005789,1831151888,545647,545445,6112900729,376418904,380219,2719049782,359865648,15522541403,4857747040,35940,2343326958,2344113544,20584918143,7561726232,37983,42497274859,846154752,79616288733,8430207736,122113563592,9276362488,25227
13,292388,291784,347048,2610048978,205471845,361906,1765008733,1298980760,578829929,173937464,47049,978852694,695649648,3322691356,2168567872,545631,545483,8910680833,376380840,407012,3643167653,356923152,18708001385,4818085208,40840,2949408015,2678277544,25300577053,7853285904,43231,52057913358,3126568912,85036897090,9680832192,137094810448,12807401104,28870
14,314989,314289,360032,4528058295,221109440,382456,2481777820,1261765008,1012680865,168542768,53234,1176697178,674055712,4671155863,2104363488,545643,545505,8334904808,376403320,432954,3862509792,347626512,17513069135,4874758208,45999,2707470953,2975195928,24083049880,8197580648,48745,60032084584,5057855264,101433567986,2002718960,161465652570,7060574224,32621
15,337464,336939,372126,4026079537,236859536,402181,2036601212,1320540632,582511585,313850496,59661,1040913976,779175424,3660026773,2413566552,545641,545537,6395927556,376307720,458406,3073865622,489567896,14484632118,4895463776,51338,3084156009,3324892008,20642653749,8709923680,54378,55892982062,7028904312,126807406162,3379976592,182700388224,10408880904,36569
16,360225,359609,383408,3434589173,252509346,421389,1749368794,1377740048,590056222,320351616,66415,1074358411,800825176,3413783427,2498916840,545636,545543,6207789490,376306728,483767,3280207336,499702840,15317576639,4830256728,56847,2459309613,3721148992,21057093588,9051108560,60221,79513104954,9323396928,146950677121,4293655152,226463782075,13617052080,40651
17,382684,382218,393759,3630915777,268241512,439853,2153578106,1568649808,599983238,323717192,73085,1328515527,803841080,4082076871,2696208080,545648,545555,6144700982,376287616,508197,3034737999,501974992,14678482279,4877364512,62366,2550915808,3906684496,20264136086,9286024000,65986,74644935257,2116973328,198686680651,6563861776,273331615908,8680835104,44743
18,405261,404808,403241,3773695605,283899589,457746,2210901442,1551397848,644896010,346945512,79922,1177203840,802029536,4033001292,2700372896,545621,545552,6637486253,376295920,532123,2784374352,492291808,15124193812,4824595680,67952,2617741457,4320742720,20526309621,9637630208,71903,95391771868,5269521880,217543714041,8716537008,312935485909,13986058888,48906
