num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,22768,22687,61481,317374138,7218336,25693,1312366186,275019536,453221685,137509776,950,518807746,138226664,2284395617,550755976,545535,545535,14362760108,401954800,26217,5299544669,551655104,22151629705,6738197304,983,1249459448,285991408,28700633822,7575843816,925,2708085792,488581136,24242890997,1060534528,26950976789,1549115664,592
2,45655,45322,106483,637699639,14132056,47485,1031262478,541194288,196191375,180398032,3371,296576057,180440160,1524029910,902032480,545535,545532,12042736855,540076568,49156,5382467208,546656456,23104915121,6674940632,3164,980780804,363327288,29468163133,7584924376,3192,6569309676,1309170800,18482076986,1637781288,25051386662,2946952088,2307
3,68718,68405,141553,1283000751,20844901,66502,809519749,859944224,340899490,212884464,6870,447921681,212926232,1598340920,1285754920,545535,545532,11964149088,540714472,70044,5183178655,645036128,23063701236,6664747344,6159,972840398,430572488,29219720289,7740355960,6256,10630191761,2062614592,23124528499,1960520344,33754720260,4023134936,4828
4,91950,91345,169420,1182211500,27457309,82828,1280251804,907274184,232439707,226818512,11231,678715442,226865840,2191406953,1360958536,545535,545532,13659835715,541189664,88898,5448034318,675935992,25579854382,6814604936,9695,970393023,458437848,31998281723,7948978776,9793,15701658116,3072178672,29644674140,2763869464,45346332256,5836048136,8064
5,115236,114470,192717,1958709331,34036882,97437,1245553436,972797920,285988348,239007192,16080,699904883,238973288,2231446667,1450778400,545535,545532,12310266934,541485664,106547,4502683061,729668168,24729291428,6809803032,13646,998371429,491330032,30230345918,8030801232,13422,21922851953,3984924296,41109991750,3409077336,63032843703,7394001632,11732
6,138314,137904,212085,2005894559,40514880,110226,2327863320,1097260720,526771153,269620216,21501,700078648,269620216,3554713121,1636501152,545535,545532,11105167660,538389480,122994,4445321614,548689672,23711024577,6882299768,18010,1278955333,548639128,29435301524,7979628568,17008,33623005995,5296485928,33579340809,4498480680,67202346804,9794966608,15819
7,161727,161382,228815,2886078862,54158904,121719,2248701217,1448094168,419625715,289337624,27066,948910440,578727352,3617237372,2316159144,545535,545532,10284830220,542060152,138485,5005588400,577295464,25743430772,6944308536,22570,1656811770,578675488,32405830942,8100279488,20213,48220418507,7408119968,53736920211,5878835544,101957338718,13286955512,20202
8,185271,184757,242951,4121545504,56614114,131836,2363293545,1571782424,482099159,314365304,33015,959103954,628696744,3804496658,2514844472,545535,545532,12827164156,542292984,153033,5889182627,628146952,26018749450,6987459624,27464,1437054520,628699112,33344986597,8244305688,23210,62983531095,9003444184,67793265318,6792018992,130776796413,15795463176,24904
9,209031,208257,255299,4444957116,59603469,141050,3727014298,1534340312,465594522,306864648,38927,1202860664,613729328,5395469484,2454934288,545535,545532,13821362304,542398440,166522,6468418049,627736728,25386864805,6772367040,32437,1990150431,613729440,33845433285,8013833208,25502,71698425804,11338417336,76838748058,8284637192,148537173862,19623054528,29757
10,232573,231928,266118,5136854585,50310762,149376,3929250794,1593890136,573021979,313361232,44936,1177704345,629356832,5679977118,2536608200,545535,545532,12413178520,545132736,179220,7722237687,637590056,24226242358,7015917464,37406,2228060363,637556192,34176540408,8291063712,27206,99972960055,14167309272,90281443884,10172075048,190254403939,24339384320,34639
11,256088,255486,275398,6032510300,72039466,156548,4392534408,1849278448,746291258,302606864,50831,1555722938,605609320,6694548604,2757494632,545535,545532,13430603008,543069208,190822,7856411321,620677872,32864897694,6781138304,42353,2310256797,616870032,43031565812,8018686208,28102,118122523110,16537153504,116357298495,12081133528,234479821605,28618287032,39456
12,279714,279197,283607,7050332325,78335957,163114,5067444194,1941046768,1627878692,317376400,56659,1556613979,635419976,8251936865,2893843144,545535,545532,15370729585,542700072,201982,7288681862,647038200,31258893865,6793835744,47352,2572301663,647004400,41119877390,8087878344,28466,115337970188,3054021720,113573808369,14495578336,228911778557,17549600056,44321
13,303466,303024,290733,5980095089,84558133,168876,4481767810,1892178792,488753043,315349328,62661,1527116285,630747360,6497637138,2838275480,545535,545532,13150588723,542891992,212532,4558296792,630781352,19078320138,6937846136,52374,1954804917,630698768,25591421847,8199326256,28556,140980257515,7941433912,136184206688,16902180928,277164464203,24843614840,49260
