num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,22648,22743,61301,229214075,7942765,25570,409855728,297108024,150234961,74267976,1517,268304470,158773240,828395159,530149240,545535,545535,7355780584,465170896,26123,3736919266,604419304,13614116753,6890177322,1058,1417507259,635163240,18768543278,8129759866,925,2708085792,488581136,24242890997,1060534528,26950976789,1549115664,628
2,45673,45418,106115,425864153,15908573,47362,355222526,578166192,129294861,94573592,5561,280765197,189183280,765282584,861923064,545535,545535,6909676557,540158384,49107,4498960605,574614168,16422555033,6898244997,3321,1316076397,705099344,22237592035,8177958509,3192,6569309676,1309170800,18482076986,1637781288,25051386662,2946952088,2358
3,68675,68427,141017,745187914,23574136,66139,582977691,731558752,147437873,121920392,11466,420627966,365761240,1151043530,1219240384,545535,545535,7343713936,540669072,69949,5841552636,608348392,18029782174,6906312672,6265,1747229953,911526560,25618564763,8426187624,6256,10630191761,2062614592,23124528499,1960520344,33754720260,4023134936,4879
4,91909,91634,169368,1010668110,31062213,82774,880088022,877541112,304321493,146290736,18906,666867803,438770496,1851277318,1462602344,545535,545535,6426044226,541105696,89131,4156389091,577994312,18724687739,6874523912,9905,1844358811,1019198072,24725435641,8471716296,9793,15701658116,3072178672,29644674140,2763869464,45346332256,5836048136,8135
5,115204,115053,192891,1267403110,38379000,97401,936856399,991040296,319778149,160778928,27461,1261436670,482452648,2518071218,1634271872,545535,545535,8121936296,541416336,106819,5143295216,660827256,18080843372,6937204592,13873,2149306388,1148062064,25373444976,8746093912,13422,21922851953,3984924296,41109991750,3409077336,63032843703,7394001632,11854
6,138307,138460,212429,1460021378,45776336,110344,1390066356,1108320704,323603730,184713760,36703,883208627,554178928,2596878713,1847213392,545535,545535,7705860648,541741368,123276,4561939177,568113224,16041073596,6834555816,18128,2286191063,1099331280,22889203836,8502000320,17008,33623005995,5296485928,33579340809,4498480680,67202346804,9794966608,15917
7,161493,162037,229070,1457145087,53096226,121848,1528403884,1228851936,371926559,204836088,46612,1326856559,614445392,3227187002,2048133416,545535,545535,6787083657,541953680,138755,3716871425,611907008,15135499730,6963426952,22768,2286898526,1222568360,21139269681,8797902320,20213,48220418507,7408119968,53736920211,5878835544,1.02E+11,13286955512,20308
8,185240,185300,243109,1699977188,60294352,131950,1732995651,1373859776,608911462,228976608,57219,1357294218,686968320,3699201331,2289804704,545535,545535,6099730716,542134240,153009,3591998012,685749400,15951385385,6869446440,27629,2363011613,1362587248,21906395010,8917783088,23210,62983531095,9003444184,67793265318,6792018992,1.31E+11,15795463176,25034
9,208790,208690,255262,1988333124,67317136,141005,1854215872,1437028584,791550226,232786096,67915,1224681650,931047232,3870447748,2600861912,545535,545535,6266510750,542243208,166433,3753527914,797415688,15439784050,6945590344,32552,2644267881,1426192456,21837579845,9169198488,25502,71698425804,11338417336,76838748058,8284637192,1.49E+11,19623054528,29810
10,232228,232028,265907,2097080805,74262168,149049,1908802041,1504529816,366508510,250781944,78772,1462517163,1003031360,3737827714,2758343120,545535,545535,7322392354,542372424,178903,3844862432,760668880,15459536263,7021086040,37482,2767859174,1493201680,22072257869,9274956600,27206,99972960055,14167309272,90281443884,10172075048,1.90E+11,24339384320,34616
11,255773,255446,275333,2168160458,81146754,156355,2374599404,1825695544,399088040,260841944,89404,1359841980,1043271456,4133529424,3129808944,545535,545535,7911842793,542448008,190715,3663714859,782725512,14503861879,7092294688,42370,3193531646,1553613568,21361108384,9428633768,28102,1.18E+11,16537153504,1.16E+11,12081133528,2.34E+11,28618287032,39433
12,279279,279244,283458,3245907848,88252280,162927,2934936145,1892988720,478237156,270460664,100194,2089904137,1081719312,5503077438,3245168696,545535,545535,7249562883,542547312,201866,3570356421,812351912,15555466141,7047879976,47398,2910413443,1610625456,22036236005,9470857344,28466,1.15E+11,3054021720,1.14E+11,14495578336,2.29E+11,34150137420,44306
13,302957,302829,290532,3288838071,95307168,168652,3579229210,1956090752,1052025013,279469768,110965,2141872497,1117785496,6773126720,3353346016,545535,545535,6844252527,542566376,212263,3545198911,558911552,15852640330,6986038904,52464,3652519094,1676648728,23050358335,9221599184,28556,1.41E+11,7941433912,1.36E+11,16902180928,2.77E+11,40140561377,49262
14,326801,326409,296751,2807422421,102259938,174008,3156348547,2029872816,442491777,290016520,121304,1743399219,1159944816,5342239543,3479834152,545535,545535,7210987390,542651928,221960,3257257487,579992656,15682052391,6959575920,57233,3755667199,1739896768,22694977077,9279465344,28440,2.45E+11,13111709256,2.61E+11,4803378432,5.06E+11,46783796474,53954
15,350707,350111,302496,3973157243,109407538,178921,4723956649,2102412224,560126751,292638000,131494,2518072171,1170441280,7802155571,3565491504,545535,545535,6801810407,542556216,231288,3467544738,601870712,15543703439,6921201152,61910,3108237249,1807120688,22119485426,9330192552,28344,2.62E+11,16761369512,2.07E+11,8373599128,4.69E+11,54113589115,58630
16,374372,373858,307368,3985752303,116334301,183244,3661225870,2186793720,505266124,312394208,141291,1975970593,1249618912,6142462587,3748806840,545535,545535,7073190994,542622816,239857,3791750719,624828240,16644984306,7185214048,66452,3685199903,1874399216,24121934928,9684441504,28291,2.93E+11,7909471248,2.91E+11,12653903856,5.84E+11,62163685708,63179
17,398376,397886,311858,3745978838,138042968,187231,5607696857,2237950128,531111267,311837080,150984,2016528796,1559052024,8155336920,4108839232,545535,545535,6914298546,542605744,248167,3433197997,641042920,15717380817,7051180200,70975,4149475481,1923084992,23300054295,9615308112,28271,3.42E+11,15929413864,3.19E+11,5003233960,6.61E+11,70967832657,67550
18,421904,421785,315826,4204378946,130347285,190905,3965634592,2314461368,726695969,330665200,160231,2508497348,1340984640,7200827909,3986111208,545535,545535,6823754072,542580024,255760,4004068498,661302752,16479323835,6943431640,75211,3096085261,1983827632,23579477594,9588562024,28267,3.19E+11,13613867672,4.00E+11,11446031808,7.20E+11,80559776369,71797
