num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,40830,40854,73722,292579910,41537408,41682,296934536,427753864,243960422,213876984,179,158102149,215516840,698997107,857147688,565535,565535,6828957434,333663000,40170,4042981516,641810912,13722843350,6844206984,264,1308835240,857788520,19074660106,8343806416,179,3268345244,1126441088,12090533798,1493151608,15358879042,2619592696,179
2,81622,81708,137568,583540556,119443378,83328,312882178,771310384,149183750,257103456,651,152397073,257137360,614463001,1285551200,585535,585535,7859247446,556437320,80170,3502779526,769608328,13894554743,6941939048,736,1437741237,1028447752,18835075506,8739995128,651,10797795724,2937807656,25111325041,2635287592,35909120765,5573095248,651
3,122387,122446,195090,837214781,181186634,124831,555224607,857146520,217294028,282877592,1294,207275274,282924840,979793909,1422948952,605535,605535,6725791547,565182736,120170,3896156052,857193864,14299115955,7159814856,1379,1729345865,1142541704,19924617872,9159550424,1294,34133469958,5690504104,39666155483,4375944184,73799625441,10066448288,1294
4,163119,163189,248231,860571083,241447784,166306,992146857,1290022840,287644926,318340488,2047,228030706,318391016,1507822489,1926754344,625535,625535,6548410405,573869600,160170,3692467699,645038936,14897796951,7111784160,2132,2202572010,1290005752,20792836660,9046828848,2047,47982711691,8957625536,77477214276,6700170904,125459925967,15657796440,2047
5,203857,203906,298342,1458703333,301705728,207761,755633451,1316409448,371191442,324748968,2905,318150329,324748912,1444975222,1965907328,645535,645535,6421047475,582468464,200170,3885700458,658242344,14718646020,7240398400,2990,3014285378,1645551520,21618631856,9544192264,2905,75135398996,12892185104,144528853179,9568667312,219664252175,22460852416,2905
6,244537,244580,346107,1545054311,361886680,249115,1481215016,1785586544,435663700,352184856,3767,337243498,352184856,2254122214,2489956256,665535,665535,6406529379,590987560,240170,3732067572,714277760,15146579523,7499593176,3852,3342302749,1785629624,22220949844,9999500560,3767,88754803522,17912136032,256841913442,13069911912,345596716964,30982047944,3767
7,285210,285246,392353,1876038364,422088917,290454,1789579341,1965227168,538920909,387449848,4637,401666753,387447600,2730167003,2740124616,685535,685535,7408391285,599489608,280170,4088708528,786122800,16197843989,7467825608,4722,3389557204,1965194424,23676109721,10219142832,4637,125245037528,24247511920,422289506730,17037270232,547534544258,41284782152,4637
8,325881,325907,437191,2258987067,482249258,331786,1415725172,2144847552,566787214,420987008,5530,492417330,420989256,2474929716,2986823816,705535,705535,7546412045,607906912,320170,4191285402,871405976,15025793000,7806187672,5615,4366420289,2136492808,23583498691,10814086456,5530,161152588443,4856950136,667123278748,21334436488,828275867191,26191386624,5530
9,366508,366521,481105,2577131734,542344338,373027,1554018013,2277322360,720072797,455520784,6449,498097801,455464440,2772188611,3188307584,725535,725535,6891332784,616173024,360170,4434188742,910985232,15551097840,7743042000,6534,4568498480,2299174216,24553785062,10953201448,6449,211407764995,10968010800,1023596726332,26576134576,1235004491327,37544145376,6449
10,407091,407147,524318,2793479287,602440805,414236,2207866568,2505628808,699225803,410895984,7337,562268782,414586512,3469361153,3331111304,745535,745535,7055918642,624512808,400170,4299550812,835253616,16209790268,7516765584,7422,4222824362,2513521488,24732165442,10865540688,7337,269544533821,21212212304,1549621333517,12737988920,1819165867338,33950201224,7337
11,447663,447758,566948,2974619116,662511088,455419,3026526402,2535425296,733772770,431858080,8236,573324864,432024144,4333624036,3399307520,765535,765535,7866879900,632715152,440170,4437821033,878073144,16325244151,7902655120,8321,4691472990,2634356448,25454538174,11415084712,8236,325446969688,9060320864,2302181056066,19446716456,2627628025754,28507037320,8236
12,488277,488353,609100,3995724745,722533568,496628,2177581392,2877232632,1503733437,411092688,9171,757357634,822128744,4438672463,4110454064,785535,785535,7187365562,640919856,480170,4446680899,822083440,16750707942,7809816544,9256,5376997646,2877311800,26574386487,11509211784,9171,405640423493,21934277984,3216636800468,14659103064,3622277223961,36593381048,9171
13,528858,528959,650911,3504082991,782590928,537815,3289873387,3169123168,838182138,576240504,10141,659626426,576240448,4787681951,4321604120,805535,805535,7790315253,649135128,520170,4403352807,864361296,16110384509,7778778664,10226,4939288889,3177690720,25453026205,11820830680,10141,483624088837,9067527032,4598590338488,22099290360,5082214427325,31166817392,10141
14,569397,569493,692370,4551092996,842620952,578888,2405979185,3367375696,1034654933,734904536,11032,730020232,734906560,4170654350,4837186792,825535,825535,7211597693,657201688,560170,4871448573,1139324232,16699799134,7857403384,11117,5139713740,3367463848,26710961447,12364191464,11032,562508052265,10613166016,6585466400972,21561543984,7147974453237,32174710000,11032
15,609938,610063,733779,4369067287,902592858,619999,2708921183,3468124288,934402514,693664768,11971,773487732,693664712,4416811429,4855453768,845535,845535,8054028539,665362656,600170,5340997764,924910744,17234222026,7861266584,12056,6892164046,3470203128,29467383836,12256380456,11971,659279397948,18048940744,9279219617732,23801330568,9938499015680,41850271312,11971
16,650506,650587,774894,5436549734,962600589,661091,2838710313,3481125288,1224886384,696253376,12841,790456109,696253336,4854052806,4873632000,865535,865535,7353649933,673400056,640170,4559045189,928635048,17546559197,8122714160,12926,5748021373,3717017736,27853625759,12768366944,12841,781665110494,26654950376,12954026910494,24460636528,13735692020988,51115586904,12841
17,691046,691099,815856,5685516765,1022569418,702143,4564481649,3789628696,1067941000,615829816,13731,1027400090,615833952,6659822739,5021292464,885535,885535,8154662932,681429376,680170,5128965116,947458080,17647012142,8244459816,13816,7212122123,4102174800,29988099381,13294092696,13731,945903147731,32099044016,17228467983419,26487476096,18174371131150,58586520112,13731
18,731571,731567,856605,5058464262,1082514400,743136,4068130072,3958005440,1237441147,698504904,14609,2456850527,698523664,7762421746,5355034008,905535,905535,8266093336,689390152,720170,6390089142,950239032,18105344147,8148935944,14694,7548012417,4184363416,32043445706,13283538392,14609,1059807299967,33388077240,22440208559925,26176176512,23500015859892,59564253752,14609
