num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,6910,6920,6301,81548953,4112,5300,162375759,101709176,38988074,101709232,280,113349984,144850864,314713817,348269272,39534,39534,695969497,-61713176,7870,322027653,101552472,883324644,508545816,225,492855113,137301056,1698207410,747399344,0,0,0,0,0,0,0,0
2,13624,13543,11282,162257630,1042,9694,272923320,112128360,49585174,112167000,1070,97281631,112128360,419790125,336423720,38034,38034,406054822,39050296,15319,203608414,112044632,874862639,448547288,924,360135934,152992872,1438606987,713584792,0,0,0,0,0,0,0,0
3,21540,20287,16034,174518610,1106,13855,517420131,237292168,40007394,118157168,2642,278908047,236246536,836335572,591695872,36534,36534,539949990,37824648,23927,178374766,118698384,923080701,474793336,2286,648801092,237433632,1750256559,830925352,0,0,0,0,0,0,0,0
4,28392,26870,19759,226849908,-9504,16910,558359612,365451984,45413630,121160944,4353,278559647,363482816,882332889,850095744,35034,35034,475542074,36821192,31326,182992001,121878400,837683152,487550328,3857,915288771,243756672,1935963924,853185400,0,0,0,0,0,0,0,0
5,35148,34136,23139,319818764,12829,19309,752906332,377139800,66567711,124958608,6804,387615491,374875872,1207089534,876974280,33534,33534,419417680,35599760,39256,223400040,125806304,791214432,503225016,6126,1538518460,251612456,2553132932,880643776,0,0,0,0,0,0,0,0
6,41718,40821,25915,354733853,-10509,21243,1542573866,393913552,90645544,130469600,9345,450471144,521742776,2083690554,1046125928,32034,32034,420844319,34671848,46419,173027967,131409216,713974092,394293080,8408,1985571157,394227496,2872573216,919929792,0,0,0,0,0,0,0,0
7,48143,47571,28277,424953002,-10509,22382,1089321421,533281616,78688616,133354216,12325,469309592,533269176,1637319629,1199905008,30534,30534,454797351,33671024,53626,190318619,133329576,681385663,399951960,11238,3173401053,399988768,4045105335,933270304,0,0,0,0,0,0,0,0
8,54769,54265,30345,585790933,1160,23238,1187842841,547599824,76478404,135876360,15791,501094337,543505496,1765415582,1226981680,29034,29034,409696468,32635976,60883,156414934,135002440,818979863,405007168,14324,3809578780,405041200,4784973577,945050808,0,0,0,0,0,0,0,0
9,61379,60871,32197,734728836,12829,23874,1484341191,558164984,92816125,139541128,19318,506757652,558203832,2083914968,1255909944,27534,27534,369456569,31634560,68042,167711732,137997384,747388715,413991992,17574,4448538302,552077088,5363638749,1104066464,0,0,0,0,0,0,0,0
10,67836,67361,33679,559987208,12829,23952,1652577124,705813192,81546970,141154712,23090,586413522,705800256,2320537616,1552768160,26034,26034,485405062,30696040,74825,151932080,140107760,679097481,420323128,21024,5951941001,560498768,6782970562,1120929656,0,0,0,0,0,0,0,0
