num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,40823,40801,73637,257951133,38186738,41622,352423567,216988976,150038177,108494496,197,210389719,110764176,712851463,436247648,565535,565535,7583016453,273273584,40170,5789622031,435189040,15036189880,4773865800,282,610467781,230083760,21436279692,5439138600,197,3908392345,802401208,23444089323,1044978064,27352481668,1847379272,197
2,81628,81579,137565,1130556770,76370872,83205,506728207,455031296,184093074,153872496,680,325840643,151697120,1016661924,760600912,585535,585535,14381097729,388000240,80170,6516571659,450142776,23167376902,4853401432,765,915850262,306297072,30599798823,5609841280,680,20912115813,2112711776,31364361342,1824316816,52276477155,3937028592,680
3,122405,122376,195003,1124998503,112425600,124779,753364431,538321976,453982508,179472736,1356,324196666,179428656,1531543605,897223368,605535,605535,8790445661,393992992,120170,4939054626,533822480,19573645119,4853143960,1441,1129451653,363441384,25642151398,5750407824,1356,37391595855,4237160784,90959255456,2915886304,128350851311,7153047088,1356
4,163179,163137,248187,1382480533,152585368,166314,1320438729,698341056,620468988,174619144,2124,295246452,174585256,2236154169,1047545456,625535,625535,9927906852,400094120,160170,5478595564,520211704,20157725106,5064247400,2209,1495019418,354147752,27131340088,5938606856,2124,73976066427,6574476872,207714177541,4479251816,281690243968,11053728688,2124
5,203941,203854,298173,1788911648,190707866,207793,1086567581,840461744,399910194,173315576,2963,369687036,162541712,1856164811,1176319032,645535,645535,8321225440,406011280,200170,4624490792,490461816,22584622945,5067749040,3048,1568812385,341643488,28777926122,5899854344,2963,108127994450,1612862824,443946029861,6418969056,552074024311,8031831880,2963
6,244638,244569,346113,2159805670,228746285,249205,1427608519,1004154184,573267819,161398560,3808,522628291,161398560,2523504629,1326951304,665535,665535,8262032128,411940104,240170,4882012895,487043544,20589404421,5065039000,3893,1514225384,334977312,26985642700,5887059856,3808,152661819404,6672088432,996528622234,2336861824,1149190441638,9008950256,3808
7,285311,285260,392333,2639075884,266791165,290569,1641754637,1131315544,583761736,288632488,4671,896220934,282815536,3121737307,1702763568,685535,685535,10135278425,417856136,280170,5491758160,424308240,18610841839,5090867712,4756,1723436104,437641000,25826036103,5952816952,4671,225036789988,3860329160,1465152970234,4911629944,1690189760222,8771959104,4671
8,325944,325931,437140,2854933528,304776368,331873,1696840261,1222929552,638258012,263315800,5587,945527778,263281944,3280626051,1749527296,705535,705535,8883740744,423757728,320170,3877204775,551890424,18425528171,5163070880,5672,2027089738,413661040,24329822684,6128622344,5587,330730804662,8867218144,2462397994492,2665320112,2793128799154,11532538256,5587
9,366601,366595,481126,3348128028,342791834,373194,2183433734,1342412432,798376439,233478704,6566,643030547,233476504,3624840720,1809367640,725535,725535,9125042872,429555264,360170,6117882765,491356864,19382442962,5247649456,6651,2182279662,490231944,27682605389,6229238264,6566,435598386467,9192224584,3787187547893,7141810176,4222785934360,16334034760,6566
10,407259,407206,524306,3775506180,380752453,414463,2649385951,1408623400,1414340193,254398264,7496,762122557,254446784,4825848701,1917468448,745535,745535,10902124539,435364520,400170,5901312652,508874392,21576742447,5232154000,7581,2841435896,510366328,30319490995,6251394720,7496,542122492593,7977258640,5622559627873,7742593752,6164682120466,15719852392,7496
11,447884,447798,566908,4098801648,418771797,455680,3066398663,1553595576,859641359,256211536,8419,1345072499,341606192,5271112521,2151413304,765535,765535,12002111958,441122752,440170,6078701561,548386320,24022482864,998282032,8504,2469096164,565198960,32570280589,2111867312,8419,728494716805,5050741392,8677575618411,6482756672,9406070335216,11533498064,8419
12,488471,488395,609089,5792415871,456717298,496864,3303173085,1719114656,1080192733,266267984,9300,1043654612,355023976,5427020430,2340406616,785535,785535,14352244895,446881024,480170,7277667582,476136320,25480599526,840035128,9385,3013073231,591212376,35771340339,1907383824,9300,1266934204305,4938737960,13420350626486,8060725384,14687284830791,12999463344,9300
13,529045,528976,650935,6330179060,494647277,538019,3652547293,1785632232,1105276428,315147648,10223,1642247785,315111536,6400071506,2415891416,805535,805535,13310773980,452590824,520170,7675181872,525258488,27889472388,477810640,10308,3611611461,590055416,39176265721,1593124544,10223,1754823287613,9123952984,18025688217874,3875264056,19780511505487,12999217040,10223
14,569604,569582,692512,5808101398,532601168,579184,3199185436,1867879504,1204335639,329653288,11116,1499008297,329657464,5902529372,2527190256,825535,825535,10890451844,458248208,560170,7142207593,549435608,20345958713,5493838384,11201,2726744346,658530472,30214910652,6701804464,11116,1424117653878,9609211472,20745534476602,4056407056,22169652130480,13665618528,11116
15,610151,610165,733796,7874355593,570532962,620314,3678885062,2073723056,1123362701,378159712,12019,1200340177,378161672,6002587940,2830044440,845535,845535,10786440869,463933856,600170,6717854786,523974616,20601806080,602282088,12104,3481654956,637540736,30801315822,1763797440,12019,1788328701348,11081515768,29080920788905,2665564528,30869249490253,13747080296,12019
