num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx,crx
1,20001,20001,38517,184836116,34081770,38652,188341845,230424320,105878859,115246072,560,136610281,125549064,430830985,471219456,545535,545535,6112487352,423501440,39385,3444825677,601307976,13504474242,1287575832,636,503129406,289639608,17452429325,2178523416,0,0,0,0,0,0,0,341,337
2,40001,40001,72870,353750710,68126056,74586,180180402,409861184,84499246,136348664,2210,114405173,272731256,379084821,818941104,545535,545535,5959578075,538751344,76993,3041413299,546515112,12931965647,6702492024,2251,608575892,473962008,16581954838,7722969144,0,0,0,0,0,0,0,1349,1344
3,60001,60001,103778,573276495,102253013,108252,215304000,610606080,131451466,152651520,4810,171476060,305303040,518231526,1068560640,545535,545535,5781142932,538777728,113298,2893929527,606498816,13955251010,6719283040,4756,585582914,761320688,17434763451,8087102544,0,0,0,0,0,0,0,2897,2887
4,80001,80001,131664,719958731,136359517,139756,282566071,699073144,204941134,174759048,8225,298703249,350291752,786210454,1224123944,545535,545535,6286710500,538742888,148113,3173184650,690242320,13222699735,6850075104,7961,767008039,1043394088,17162892424,8583711512,0,0,0,0,0,0,0,4920,4906
5,100001,100001,156597,774254935,170435978,169265,388144914,774675416,181719254,193660304,12331,534774401,387354488,1104638569,1355690208,545535,545535,5533915737,538809224,181544,2984467398,583509384,13492452545,6778219632,11782,770512838,1350828160,17247432781,8712557176,0,0,0,0,0,0,0,7355,7334
6,120001,120001,178961,934445205,204534000,196932,440844094,1035298440,210756061,207072432,16998,604957120,414076944,1256557275,1656447816,545535,545535,6278203067,538776064,213587,3732091980,616056800,13630158926,6832418312,16050,1344423752,1642353632,18706674658,9090828744,0,0,0,0,0,0,0,10059,10033
7,140001,140001,199178,1112261062,238689026,222902,545274418,1100672088,246365691,220168272,22257,701827781,660403104,1493467890,1981243464,545535,545535,5509238051,538785240,244672,3148803187,656117736,13155825519,6824359800,20878,1042667304,2179660992,17347296010,9660138528,0,0,0,0,0,0,0,13124,13093
8,160000,160001,217184,1241282499,272847269,247372,631144875,1147440848,386710190,224012104,28119,587790290,671934704,1605645355,2043387656,545535,545535,6150285059,538716376,274662,3211275871,688502656,14003994534,6884791000,26137,2097924543,2731834216,19313194948,10305127872,0,0,0,0,0,0,0,16569,16535
9,180000,180001,233638,1714863258,307003290,270344,796605198,1202361600,304125839,240503392,34218,731544950,721438688,1832275987,2164303680,545535,545535,7049396639,538712112,303472,2888170588,718274184,13140280527,6973589816,31655,2171461836,3105229544,18199912951,10797093544,0,0,0,0,0,0,0,20089,20057
10,200000,200001,248313,1604235350,341197208,292092,887111866,1508265680,556026849,244920160,40698,554542660,734692752,1997681375,2487878592,545535,545535,6685140542,538641864,331261,3179765984,762543424,13545968600,6787129664,37369,2751961470,3745613616,19477696054,11295286704,0,0,0,0,0,0,0,23789,23755
11,220000,220001,261632,2085764577,375433976,312800,907947270,1579824848,625010369,263338048,47347,686287926,789955312,2219245565,2633118208,545535,545535,6176774151,538282896,358109,3854473131,788223088,13204106901,6862833832,43206,2396471321,4182310376,19455051353,11833367296,0,0,0,0,0,0,0,27600,27565
12,240000,240001,273634,2264182773,409624925,332382,1031472440,1654269560,442762225,268454520,54367,1149231086,805295568,2623465751,2728019648,545535,545535,6029326369,538202144,384274,3092175848,551453256,13463280046,6892766336,49307,2994482699,4687183752,19549938593,12131403344,0,0,0,0,0,0,0,31508,31472
13,260000,260001,284412,2157144002,443827768,350912,1092034551,1759124056,386643987,293213840,61611,1038220620,879573712,2516899158,2931911608,545535,545535,6156253521,537971296,409492,2919054393,586279528,13771534601,7036464064,55525,2004893269,5277471168,18695482263,12900214760,0,0,0,0,0,0,0,35622,35586
14,280000,280001,293979,2136429076,478005853,368580,1298324271,1832307672,727056219,297386128,68960,773946763,892090696,2799327253,3021784496,545535,545535,6684650926,537867168,433758,2922033534,610825240,13511502794,7024102344,61740,3249900808,5802682928,19683437136,13437610512,0,0,0,0,0,0,0,39765,39726
15,300000,300001,302675,2607858537,512184376,385139,1268379164,1931501192,685842448,321965184,76396,838434295,965786632,2792655907,3219253008,545535,545535,5771044142,537743680,457168,2935126681,643882184,13665080938,7082322856,68135,3605260168,6438614496,20205467787,14164819536,0,0,0,0,0,0,0,43963,43925
16,320000,320001,310620,2488220190,546412648,401148,1859503692,1677104520,451761541,326886552,83838,633629216,980710864,2944894449,2984701936,545535,545535,5530487043,537571032,479935,3067838793,671041376,13870724247,7045522456,74411,4867447380,7045641320,21806010420,14762205152,0,0,0,0,0,0,0,48115,48076
17,340000,340001,317820,3014322917,580696330,416235,1480584565,1749644272,474955118,349942384,91381,1064280949,1049813632,3019820632,3149400288,545535,545535,6180739567,537566440,501983,3073878075,699888208,14191505718,6998654344,80776,3280153995,7348698584,20545537788,15047241136,0,0,0,0,0,0,0,52250,52212
18,360000,360001,324202,3254683565,614892845,430612,1530900780,1841268600,774346113,359350032,99043,982178784,1078038264,3287425677,3278656896,545535,545535,6281631209,537251552,523420,3042688349,736969056,13155409866,7000979136,87153,5307973619,8106479632,21506071834,15844427824,0,0,0,0,0,0,0,56376,56340
