num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx,crx
1,6838,6743,6266,73942795,12554,5192,190078105,119906192,37295712,119771816,109,93036716,130615968,320410533,370293976,39534,39534,435638269,-79917200,7656,246389814,119906160,791483016,479624712,235,105927658,236482880,1143800488,836013752,0,0,0,0,0,0,0,0,0
2,13605,13299,11222,110017729,12776,9511,288612681,137804456,42882936,137804456,475,86782394,137804456,418278011,413413368,38034,38034,492493201,39054248,15084,221991214,137720752,868041742,551260664,937,102226358,253384512,1192259314,942365928,0,0,0,0,0,0,0,0,0
3,20338,20176,15628,155079546,1160,13297,336674059,303438928,36776984,151753352,1057,127315666,151719448,500766709,606911728,36534,36534,399079579,38110056,22727,169795875,151719440,680176709,455158400,2096,157899823,151719512,1007872407,758597352,0,0,0,0,0,0,0,0,0
4,27325,26814,19445,242580004,1160,16434,431744040,314126320,39158625,156478552,1871,113194950,156441880,584097615,627046752,35034,35034,481805859,37175584,30252,172932487,158254072,803966256,471437096,3638,161890443,157145888,1138789186,786837056,0,0,0,0,0,0,0,0,0
5,33926,33705,22647,246198359,12829,18826,847832301,328030336,64265912,164015184,2927,234018635,164482880,1146116848,656528400,33534,33534,371999622,36212208,37722,143618893,164015216,681577096,492079400,5707,244638445,164015352,1069834434,820109968,0,0,0,0,0,0,0,0,0
6,40466,41459,25783,300537519,1160,20953,823758468,506668640,53641128,168876664,4230,255162864,337757392,1132562460,1013302696,32034,32034,373102758,35290520,46064,147547994,168876696,630381417,506629944,8258,313890030,168876832,1091819441,844383472,0,0,0,0,0,0,0,0,0
7,47543,47972,28364,418279613,-9506,22524,993629305,521781488,57355224,173927128,5628,276984788,347854248,1327969317,1043562864,30534,30534,361247322,34340280,53571,135652288,173927160,611030401,521818288,11029,387915437,173927296,1134598126,869672744,0,0,0,0,0,0,0,0,0
8,54070,54375,30394,408306951,-10509,23450,1127500503,541279016,61906984,180488552,7082,291762946,360852512,1481170433,1082620080,29034,29034,334289229,33488072,60463,135416568,180426240,597026999,541278552,13899,493092275,180426376,1225535842,902131168,0,0,0,0,0,0,0,0,0
9,60495,61203,32213,590278650,-9320,23845,1225586061,556332760,65456522,185443584,8884,354562835,370898088,1645605418,1112674432,27534,27534,327284804,32485568,67740,131860555,185443616,586733141,370887128,17386,545552297,185443752,1264145993,741774496,0,0,0,0,0,0,0,0,0
10,68253,67663,33892,626173033,12829,24168,1536856678,743566536,66116217,184768832,11068,578493469,554340352,2181466364,1482675720,26034,26034,330644429,29938696,75897,116127465,184206936,517319908,368413760,21618,780988188,184207072,1414435561,736827768,0,0,0,0,0,0,0,0,0
11,74883,74447,35274,564889587,12829,24090,1698115516,743517704,66802279,185908224,13015,610616552,557639288,2375534347,1487065216,24534,24534,423849492,29022160,83226,122380218,185874408,519256302,371786688,25474,893669976,185874488,1535306496,743535584,0,0,0,0,0,0,0,0,0
12,81168,80890,36405,610374790,12829,23712,1818539440,750575608,68801945,186445016,14954,574741427,559381512,2462082812,1496402136,23034,23034,317046513,28048368,89894,128917674,187810856,564216778,375623712,29205,1146481540,187811048,1839615992,751245616,0,0,0,0,0,0,0,0,0
13,87658,90544,38009,674769974,12829,24729,2103149442,949354744,207000341,189862512,17551,2299735816,2088526176,4609885599,3227743432,21534,21534,287134136,27477672,99901,124574681,193027256,518387891,386020496,33853,1133635224,193010440,1776597796,772058192,0,0,0,0,0,0,0,0,0
14,93850,96711,38697,788363178,-4133,23820,2043412123,994606768,169251147,198913712,19538,2535834446,2188097328,4748497716,3381617808,20034,20034,277498708,21776352,106123,112772596,200462808,454134346,400925504,37592,1232645333,200506120,1799552275,801894432,0,0,0,0,0,0,0,0,0
15,100136,103000,39189,785727612,20405,22601,2200626286,1032754376,155384635,206565824,21642,2827937751,2272101152,5183948672,3511421352,18534,18534,277110995,24348592,112510,109959461,210338008,432217998,420579728,41669,1268629813,210290048,1810807272,841207784,0,0,0,0,0,0,0,0,0
